Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
awesome,1,0,1,0,0,1,0,0,0
cuisine data image/png base64 ivborw0kggoaaaansuheugaaapoaaabaaqmaaacrptmqaaaaa1bmveuaaacnej3aaaaaaxrstlmaqobyzgaaaafis0deaigfhugaaaaasurbvbgz7cexaqaaamig 6dedq9gaadagqalmgabjgxo6aaaaabjru5erkjggg,0,1,6,1,11,5,0,0,0
awesome,1,0,1,0,0,1,0,0,0
cuisine https //wwwawesomecuisinecom/wp,1,1,3,0,0,3,0,0,0
content/uploads/2021/03/awesomecuisinelogopng,2,1,1,1,6,1,0,0,0
vegetarian,1,2,1,0,0,0,0,0,0
appetizers snacks,1,1,2,0,0,2,0,0,0
all vegetarian snacks,1,1,3,0,0,1,0,0,0
bonda,1,1,1,0,0,1,0,0,0
samosa,1,1,1,0,0,1,0,0,0
sundal,1,1,1,0,0,1,0,0,0
vada,1,1,1,0,0,1,0,0,0
vadam and vathal,1,1,3,0,0,2,0,0,0
kebabs,1,1,1,0,0,1,0,0,0
breads rice,1,1,2,0,0,2,0,0,0
biryani,1,1,1,0,0,1,0,0,0
naan,1,1,1,0,0,1,0,0,0
paratha,1,1,1,0,0,1,0,0,0
poori,1,1,1,0,0,1,0,0,0
pulao,1,1,1,0,0,1,0,0,0
rice,1,1,1,0,0,1,0,0,0
roti,1,1,1,0,0,1,0,0,0
vegetarian mains,1,1,2,0,0,1,0,0,0
curries and gravies,1,1,3,0,0,2,0,0,0
dal,1,1,1,0,0,1,0,0,0
paneer,1,1,1,0,0,1,0,0,0
south indian food,1,1,3,0,0,1,0,0,0
all south indian recipes,1,1,4,0,0,1,0,0,0
kootu,1,1,1,0,0,1,0,0,0
sambar,1,1,1,0,0,1,0,0,0
rasam,1,1,1,0,0,1,0,0,0
idli,1,1,1,0,0,1,0,0,0
dosa,1,1,1,0,0,1,0,0,0
vegetarian sides,1,1,2,0,0,1,0,0,0
all side dishes,1,1,3,0,0,2,0,0,0
chutneys and sauces,1,1,3,0,0,2,0,0,0
raita,1,1,1,0,0,1,0,0,0
non vegetarian,1,1,2,0,0,2,0,0,0
egg,1,1,1,0,0,1,0,0,0
chicken,1,1,1,0,0,1,0,0,0
crab,1,1,1,0,0,1,0,0,0
fish,1,1,1,0,0,1,0,0,0
mutton,1,1,1,0,0,1,0,0,0
prawn,1,1,1,0,0,1,0,0,0
shrimp,1,1,1,0,0,1,0,0,0
fast food,1,1,2,0,0,1,0,0,0
burgers,1,1,1,0,0,1,0,0,0
chaat,1,1,1,0,0,1,0,0,0
pasta,1,1,1,0,0,1,0,0,0
pizza,1,1,1,0,0,1,0,0,0
sandwich,1,1,1,0,0,1,0,0,0
beverages,1,1,1,0,0,1,0,0,0
cocktails,1,1,1,0,0,1,0,0,0
fruit juices,1,1,2,0,0,2,0,0,0
lassi,1,1,1,0,0,1,0,0,0
milkshakes,1,1,1,0,0,1,0,0,0
mocktails,1,1,1,0,0,1,0,0,0
smoothies,1,1,1,0,0,1,0,0,0
desserts sweets,1,1,2,0,0,2,0,0,0
sweets,1,1,1,0,0,1,0,0,0
all sweets,1,1,2,0,0,1,0,0,0
burfi,1,1,1,0,0,1,0,0,0
halwa,1,1,1,0,0,1,0,0,0
kesari,1,1,1,0,0,1,0,0,0
laddu,1,1,1,0,0,1,0,0,0
desserts,1,1,1,0,0,1,0,0,0
all desserts,1,1,2,0,0,1,0,0,0
cakes,1,1,1,0,0,1,0,0,0
chocolate,1,1,1,0,0,1,0,0,0
cookies,1,1,1,0,0,1,0,0,0
ice cream,1,1,2,0,0,2,0,0,0
kheer,1,1,1,0,0,1,0,0,0
tamil recipes,1,1,2,0,0,2,0,0,0
health,1,1,1,0,0,1,0,0,0
salad,1,1,1,0,0,1,0,0,0
salad dressings,1,1,2,0,0,1,0,0,0
soup,1,1,1,0,0,1,0,0,0
pregnancy and postnatal,1,1,3,0,0,2,0,0,0
international,1,1,1,0,0,0,0,0,0
chinese,1,1,1,0,0,0,0,0,0
french,1,1,1,0,0,0,0,0,0
italian,1,1,1,0,0,0,0,0,0
mediterranean,1,1,1,0,0,1,0,0,0
mexican,1,1,1,0,0,0,0,0,0
middle eastern,1,1,2,0,0,0,0,0,0
spanish,1,1,1,0,0,0,0,0,0
thai,1,1,1,0,0,1,0,0,0
vietnamese,1,1,1,0,0,0,0,0,0
more,1,1,1,0,0,0,0,0,0
kids recipes,1,1,2,0,0,2,0,0,0
indian festival recipes,1,1,3,0,0,2,0,0,0
fruits vegetables,2,1,2,0,0,2,0,0,0
home vegetarian paneer paneer manchurian,2,2,5,0,0,5,0,0,0
paneer,2,2,1,0,0,1,0,0,0
paneer manchurian,2,2,2,0,0,2,0,0,0
1 423 views,2,2,3,1,4,1,0,0,0
perfect amalgamation of indo chinese culinary,2,2,6,0,0,2,0,0,0
jump to recipe,0,2,3,0,0,1,1,0,0
paneer,1,0,1,0,0,1,0,0,0
manchurian data image/png base64 ivborw0kggoaaaansuheugaaafqaaah0aqmaaadxge3jaaaaa1bmveuaaacnej3aaaaaaxrstlmaqobyzgaaaafis0deaigfhugaaaa1surbvbgz7cexaqaaamig 6feywxgaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabd9aaab6ainvwaaaabjru5erkjggg,0,1,6,1,14,4,0,0,0
paneer,1,0,1,0,0,1,0,0,0
manchurian https //wwwawesomecuisinecom/wp,1,1,3,0,0,2,0,0,0
content/uploads/2008/02/paneer manchurian 500x500jpg,2,1,3,1,12,2,0,0,0
paneer manchurian is a perfect amalgamation of indian and chinese cuisines,1,2,11,0,0,4,1,0,0
cooking paneer with veggies is an indian tradition whereas frying manchurian,1,1,11,0,0,3,3,0,0
is a chinese cooking practice a combination of both these methods gives you a,1,1,14,0,0,4,2,0,0
crunchy deep and spicy flavored paneer manchurian which is good enough to,1,1,12,0,0,3,2,0,0
give a surreal experience to your taste buds,0,1,8,0,0,3,1,0,0
paneer,1,0,1,0,0,1,0,0,0
