Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
food folks,1,0,2,0,0,2,0,0,0
fun data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20300 2081 3e 3c/svg 3e,0,1,16,1,26,3,2,0,0
food,1,0,1,0,0,1,0,0,0
folks fun /wp content/themes/pmdfoodfun/images/headersvg,2,1,4,0,0,2,1,0,0
search,2,2,1,0,0,1,0,0,0
home,1,2,1,0,0,1,0,0,0
about,1,1,1,0,0,0,0,0,0
contact me,1,1,2,0,0,1,0,0,0
food,1,1,1,0,0,1,0,0,0
appetizers,1,1,1,0,0,1,0,0,0
breads,1,1,1,0,0,1,0,0,0
breakfast,1,1,1,0,0,1,0,0,0
copycat recipes,1,1,2,0,0,2,0,0,0
desserts recipes,1,1,2,0,0,2,0,0,0
drinks,1,1,1,0,0,1,0,0,0
holidays,1,1,1,0,0,1,0,0,0
main dishes,1,1,2,0,0,1,0,0,0
quick and easy recipes,1,1,4,0,0,2,0,0,0
salad,1,1,1,0,0,1,0,0,0
side dishes,1,1,2,0,0,2,0,0,0
slow cooker,1,1,2,0,0,1,0,0,0
snacks,1,1,1,0,0,1,0,0,0
folks fun,1,1,2,0,0,1,1,0,0
asia,1,1,1,0,0,1,0,0,0
arizona,1,1,1,0,0,1,0,0,0
czechia,1,1,1,0,0,1,0,0,0
europe,1,1,1,0,0,1,0,0,0
israel,1,1,1,0,0,1,0,0,0
ireland,1,1,1,0,0,1,0,0,0
indonesia,1,1,1,0,0,1,0,0,0
middle east,1,1,2,0,0,1,0,0,0
north america,2,1,2,0,0,2,0,0,0
skip to primary navigation,1,2,4,0,0,2,0,0,0
skip to main content,1,1,4,0,0,2,0,0,0
skip to primary sidebar,1,1,4,0,0,2,0,0,0
skip to footer,2,1,3,0,0,1,1,0,0
food folks and fun,2,2,4,0,0,3,0,0,0
love in every bite,2,2,4,0,0,2,0,0,0
home,1,2,1,0,0,1,0,0,0
about,1,1,1,0,0,0,0,0,0
contact me,1,1,2,0,0,1,0,0,0
food,1,1,1,0,0,1,0,0,0
appetizers,1,1,1,0,0,1,0,0,0
breads,1,1,1,0,0,1,0,0,0
breakfast,1,1,1,0,0,1,0,0,0
copycat recipes,1,1,2,0,0,2,0,0,0
desserts recipes,1,1,2,0,0,2,0,0,0
