Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
glorious treats /wp content/themes/pmd treats/images/headersvg,2,0,5,0,0,3,1,0,0
search,2,2,1,0,0,1,0,0,0
home,1,2,1,0,0,1,0,0,0
about,1,1,1,0,0,0,0,0,0
contact,1,1,1,0,0,1,0,0,0
recipe index,1,1,2,0,0,2,0,0,0
recipes by holiday/season,1,1,3,0,0,2,0,0,0
breakfast brunch,1,1,2,0,0,2,0,0,0
brownies bars,1,1,2,0,0,2,0,0,0
cakes,1,1,1,0,0,1,0,0,0
cookie recipes,1,1,2,0,0,2,0,0,0
cookie decorating,1,1,2,0,0,1,1,0,0
cupcakes,1,1,1,0,0,1,0,1,0
fruit desserts,2,1,2,0,0,2,0,0,0
treats in your inbox sign up now,0,2,7,0,0,3,0,0,0
visit my other site,0,0,4,0,0,2,0,0,0
mom on timeout,2,0,3,0,0,2,0,0,0
skip to primary navigation,1,2,4,0,0,2,0,0,0
skip to main content,1,1,4,0,0,2,0,0,0
skip to primary sidebar,1,1,4,0,0,2,0,0,0
skip to footer,2,1,3,0,0,1,1,0,0
home about faqs contact,2,2,4,0,0,2,0,0,0
treats in your inbox sign up now,0,2,7,0,0,3,0,0,0
visit my other site,0,0,4,0,0,2,0,0,0
mom on timeout,2,0,3,0,0,2,0,0,0
treats in your inbox subscribe now,0,2,6,0,0,2,0,0,0
glorious treats,2,0,2,0,0,1,0,0,0
beautiful desserts delicious recipes inspiring parties adorable crafts,2,2,8,0,0,4,1,0,0
home,1,2,1,0,0,1,0,0,0
about,1,1,1,0,0,0,0,0,0
contact,1,1,1,0,0,1,0,0,0
recipe index,1,1,2,0,0,2,0,0,0
appetizers snacks,1,1,2,0,0,2,0,0,0
breakfast brunch,1,1,2,0,0,2,0,0,0
breads muffins,1,1,2,0,0,2,0,0,0
cakes,1,1,1,0,0,1,0,0,0
cookies,1,1,1,0,0,1,0,0,0
brownies bars,1,1,2,0,0,2,0,0,0
cupcakes,1,1,1,0,0,1,0,1,0
desserts in jars,1,1,3,0,0,2,0,0,0
by holiday,1,1,2,0,0,1,0,0,0
4th of july,1,1,3,1,1,1,0,0,0
christmas/winter,1,1,1,0,0,1,0,0,0
fall/ autumn,1,1,2,0,0,2,0,0,0
halloween,1,1,1,0,0,1,0,0,0
spring/ easter,1,1,2,0,0,2,0,0,0
st patrick s day,1,1,4,0,0,3,0,0,0
summer,1,1,1,0,0,1,0,0,0
valentine s day,1,1,3,0,0,2,0,0,0
search,2,1,1,0,0,1,0,0,0
breakfast,1,2,1,0,0,1,0,0,0
cakes,1,1,1,0,0,1,0,0,0
cheesecake,1,1,1,0,0,1,0,0,0
cookies,1,1,1,0,0,1,0,0,0
cookie decorating,1,1,2,0,0,1,1,0,0
cupcakes,1,1,1,0,0,1,0,1,0
cupcake decorating,1,1,2,0,0,2,0,1,0
frostings fillings,1,1,2,0,0,2,0,0,0
no bake desserts,1,1,3,0,0,2,0,0,0
candy fudge,1,1,2,0,0,2,0,0,0
search,2,1,1,0,0,1,0,0,0
you are here home / recipes / cakes / chocolate hazelnut cake,2,2,12,0,0,6,4,0,0
recipes,2,2,1,0,0,1,0,0,0
chocolate hazelnut cake,2,2,3,0,0,2,1,0,0
created on november 6 2017 updated july 16 2020 view our,1,2,11,1,11,1,2,0,0
disclosure policy,2,1,2,0,0,2,0,0,0
share,1,2,1,0,0,1,0,0,0
tweet,1,1,1,0,0,1,0,0,0
pin,2,1,1,0,0,1,0,0,0
jump to recipe print recipe,0,2,5,0,0,3,1,0,0
chocolate hazelnut cake if you love nutella this cake is for you,0,0,12,0,0,3,3,0,0
https //wwwglorioustreatscom/wp content/uploads/2017/10/chocolate,1,0,3,1,6,2,0,0,0
hazelnut cakejpg,2,1,2,0,0,2,0,0,0
looking for something a little extra special,0,2,7,0,0,1,1,0,0
this gorgeous chocolate hazelnut cake is is sure to impress,0,0,10,0,0,3,3,0,0
this chocolate hazelnut cake recipe starts with a perfectly rich and fluffy,1,0,12,0,0,3,2,0,0
chocolate cake then gets layered with a flavorful whipped hazelnut spread,1,1,11,0,0,4,2,0,0
frosting,2,1,1,0,0,0,1,0,0
creamy chocolaty nutty this beautiful cake has it all,0,2,9,0,0,2,1,0,0
pin it now to save for later,0,0,7,0,0,0,1,0,0
rich chocolate cake with a whipped hazelnut spread frosting,1,0,9,0,0,4,1,0,0
yum,0,1,1,0,0,1,0,0,0
https //wwwglorioustreatscom/wp content/uploads/2017/10/chocolate,1,0,3,1,6,2,0,0,0
nutella cakejpg,2,1,2,0,0,2,0,0,0
the inspiration for this cake came from a new product from sprouts farmers,1,2,13,0,0,4,1,0,0
market that i m pretty excited about organic hazelnut spread,0,1,10,0,0,3,2,0,0
if you love chocolate and hazelnut or love that other brand of hazelnut,1,0,13,0,0,4,2,0,0
spread you must try this,0,1,5,0,0,1,1,0,0
i m going to dare to say that sprouts organic hazelnut spread is even better,1,0,15,0,0,3,6,0,0
than the brands you may have tried before,0,1,8,0,0,1,2,0,0
it s just so perfectly creamy and flavorful,0,0,8,0,0,0,1,0,0
i know this is going to be a,1,0,8,0,0,1,4,0,0
staple in our house now,0,1,5,0,0,2,0,0,0
of course i ve come to expect sprouts brand products to be exceptional in,1,0,14,0,0,5,4,0,0
flavor and performance and always at super reasonable prices,0,1,9,0,0,3,0,0,0
and when i picked up my jar ok i bought two jars of hazelnut spread i knew,1,0,17,0,0,6,4,0,0
i could head right to sprouts bulk bins to find some gorgeous raw hazelnuts as,1,1,15,0,0,4,3,0,0
the perfect finishing element for a chocolate and hazelnut dessert,0,1,10,0,0,5,0,0,0
chocolate hazelnut cake ingredients https //wwwglorioustreatscom/wp,1,0,6,0,0,4,2,0,0
content/uploads/2017/10/hazelnut cake ingredientsjpg,2,1,3,1,6,2,1,0,0
of course my kids love sprouts hazelnut spread simply on toast but i wanted,1,2,14,0,0,6,3,0,0
to elevate this delicious spread a bit more,0,1,8,0,0,2,1,0,0
this chocolate hazelnut cake is perfectly rich flavorful and delicious and,1,0,11,0,0,4,1,0,0
i m already dreaming of more gorgeous desserts to show off my new favorite,1,1,14,0,0,2,3,0,0
hazelnut spread,0,1,2,0,0,2,0,0,0
i shared some of this cake with a friend and the next day she texted me,1,0,16,0,0,4,2,0,0
asking for the recipe,0,1,4,0,0,1,1,0,0
chocolate hazelnut cake recipe https //wwwglorioustreatscom/wp,1,0,6,0,0,4,1,0,0
content/uploads/2017/10/chocolate hazelnut cake recjpg,2,1,4,1,6,3,1,0,0
you ll find the full recipe below but let me walk you through the decorating,1,2,15,0,0,2,4,0,0
just a bit,2,1,3,0,0,1,0,0,0
make sure the cake layers are fully cooled before you start to decorate i,1,2,14,0,0,3,5,0,0
like to wrap each layer in plastic wrap and put in the freezer for at least 1,1,1,17,1,1,3,2,0,0
hour or up to a couple days before frosting so the cake is nice and firm,1,1,16,0,0,4,2,0,0
while i m decorating it the cake will defrost quite quickly and perfectly,1,1,13,0,0,1,3,0,0
soft to eat,2,1,3,0,0,0,1,0,0
once you ve added a layer of frosting between each cake layer and you re,1,2,15,0,0,3,4,0,0
ready to frost the outside of the cake start with a thin layer of frosting,1,1,15,0,0,3,2,0,0
called a crumb coat to seal in the crumbs this layer does not need to be,1,1,16,0,0,4,5,0,0
perfect and it s fine if you can see the cake through this layer a bit put,1,1,17,0,0,4,3,0,0
the entire cake in the freezer for at least 15 minutes for the crumb coat to,1,1,16,1,2,5,0,0,0
firm up,2,1,2,0,0,1,0,0,0
add the second layer of frosting this time you can spend a bit more time,1,2,15,0,0,4,3,0,0
making it as smooth as you wish,2,1,7,0,0,0,2,0,0
for the frosting style pictured use a small off set spatula held horizontally,1,2,13,0,0,2,3,1,0
and drag it through the frosting while slowly turning the cake preferably on,1,1,13,0,0,4,1,0,0
a cake turn table spiral up the cake as the cake spins,2,1,12,0,0,6,0,0,0
add the layer of hazelnut spread on top listed below in the recipe then add,1,2,15,0,0,4,3,0,0
chopped hazelnuts,2,1,2,0,0,1,1,0,0
add some reserved frosting to a piping bag and pipe swirls of frosting around,1,2,14,0,0,4,3,0,0
the top rim of the cake if desired,0,1,8,0,0,2,1,0,0
chocolate cake with whipped nutella,1,0,5,0,0,3,0,0,0
frosting https //wwwglorioustreatscom/wp content/uploads/2017/10/hazelnut,1,1,4,1,6,3,1,0,0
cake recipejpg,4,1,2,0,0,2,0,0,0
how to make chocolate hazelnut cake,0,4,6,0,0,2,2,0,0
chocolate hazelnut cake if you love nutella this cake is for,1,0,11,0,0,3,3,0,0
you,0,1,1,0,0,0,0,0,0
https //wwwglorioustreatscom/wp content/uploads/2017/10/chocolate,1,0,3,1,6,2,0,0,0
hazelnut cake 250x250jpg,2,1,3,1,6,1,1,0,0
chocolate hazelnut cake,2,2,3,0,0,2,1,0,0
rich chocolate cake is paired with fluffy whipped cream and hazelnut spread,1,2,12,0,0,6,3,0,0
frosting,0,1,1,0,0,0,1,0,0
no ratings yet,2,0,3,0,0,1,0,0,0
print recipe pin recipe,2,2,4,0,0,4,0,0,0
prep time 1 hr 30 mins,2,2,6,1,3,3,0,0,0
cook time 30 mins,2,2,4,1,2,3,0,0,0
cool 30 mins,2,2,3,1,2,1,0,0,0
total time 2 hrs 30 mins,2,2,6,1,3,3,0,0,0
course dessert,2,2,2,0,0,2,0,0,0
cuisine american,2,2,2,0,0,0,0,0,0
servings 12,2,2,2,1,2,1,0,0,0
calories 774 kcal,2,2,3,1,3,1,0,0,0
ingredients,4,2,1,0,0,1,0,0,0
for the cake,2,4,3,0,0,1,0,0,0
2 cups sugar,1,2,3,1,1,2,0,1,1
1 3/4 cups all purpose flour,1,1,6,1,3,2,1,1,1
3/4 cup unsweetened cocoa powder best quality available,1,1,8,1,2,4,0,1,1
1 1/2 teaspoons baking powder,1,1,5,1,3,2,1,1,1
1 1/2 teaspoons baking soda,1,1,5,1,3,2,1,1,1
1 teaspoon salt,1,1,3,1,1,2,0,1,1
3 eggs,1,1,2,1,1,1,0,0,1
3/4 cup whole milk or use skim milk and add a little cream,1,1,13,1,2,4,1,1,1
1/2 cup vegetable oil,1,1,4,1,2,2,0,1,1
2 teaspoons vanilla extract,1,1,4,1,1,3,0,1,1
3/4 cup very hot water or hot coffee,2,1,8,1,2,2,0,1,1
for the frosting,2,2,3,0,0,1,0,0,0
3 cups heavy whipping cream,1,2,5,1,1,2,1,1,1
1 cup powdered sugar divided,1,1,5,1,1,2,2,1,1
8 oz cream cheese 1 package,1,1,6,1,2,3,0,0,1
3/4 cup sprouts organic hazelnut spread,1,1,6,1,2,4,0,1,1
1 teaspoon vanilla extract,2,1,4,1,1,3,0,1,1
garnish,2,2,1,0,0,1,0,0,0
2 tablespoons chocolate chips,1,2,4,1,1,2,1,1,1
3 tablespoons sprouts organic hazelnut spread,1,1,6,1,1,3,1,1,1
1/4 cup chopped hazelnuts,1,1,4,1,2,2,1,1,1
12 15 whole hazelnuts additional,2,1,5,1,4,1,0,0,1
instructions,4,2,1,0,0,1,0,0,0
bake the cake,2,4,3,0,0,1,1,0,0
heat oven to 350 f,2,2,5,1,3,2,0,0,0
prepare cake pans by rubbing the sides of the pans with a little oil or butter and dusting with flour line bottoms of pans with parchment paper,2,2,27,0,0,10,2,0,0
in a large mixing bowl the bowl of an electric mixer stir together sugar flour cocoa baking powder baking soda and salt,2,2,22,0,0,9,3,0,0
add eggs milk oil and vanilla beat on medium speed for one minute,2,2,13,0,0,7,1,1,0
stir in hot water or coffee the batter will be thin don t worry this is right,2,2,17,0,0,7,2,0,0
divide batter evenly between prepared pans,2,2,6,0,0,2,0,0,0
bake until the top of the cake is smooth and has a slight dome and a toothpick inserted in the center comes out clean i baked the cake shown in three 7 pans and baked them about 30 minutes you will need to adjust the bake time based on the pans you choose,2,2,53,1,3,13,11,0,0
cool completely before frosting i like to cool the cakes at room temperature a bit then wrap in plastic wrap and freeze until cold and firm 30 minutes or up to a couple days,2,2,34,1,2,12,3,0,0
prepare the frosting,2,2,3,0,0,1,1,0,0
chill your mixing bowl and beater s in the freezer for 5 minutes this will help the whipping cream whip up nice and quickly,2,2,24,1,1,7,4,0,0
pour the heavy cream into the chilled bowl then beat until it begins to thicken slowly add half 1/2 cup of the powdered sugar while mixing continue to beat until the cream has almost doubled in volume and is nice and fluffy,2,2,42,1,2,7,9,1,0
remove whipped cream from mixing bowl into another bowl and set in the fridge,2,2,14,0,0,5,3,0,0
in the mixing bowl empty but no need to clean fully add the cream cheese beat until smooth,2,2,18,0,0,5,2,0,0
add the remaining 1/2 cup powdered sugar and mix until fully combined,2,2,12,1,2,3,4,1,0
add the hazelnut spread to the smooth cream cheese and blend until fully combined add vanilla and blend,2,2,18,0,0,7,2,0,0
retrieve the whipped cream from the fridge and add one large scoop about a cup of whipped cream into the mixing bowl with the hazelnut spread/cream cheese mixture blend slowly using the whisk attachment until combined,2,2,36,0,0,10,6,1,0
add the remaining whipped cream to the bowl and use a spatula to gently fold/stir the whipped cream into the hazelnut mixture,2,2,22,0,0,6,5,0,0
fill and frost your prepared cooled cake as desired you should have plenty of frosting to cover the cake and some remaining for decorative touches to be added later move frosted cake to the freezer if you plan to add chocolate glaze recipe follows,2,2,44,0,0,9,14,0,0
garnish,2,2,1,0,0,1,0,0,0
