Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
handle the,1,0,2,0,0,0,1,0,0
heat data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20255 2062 3e 3c/svg 3e,0,1,16,1,26,3,2,0,0
handle,1,0,1,0,0,1,0,0,0
the heat https //handletheheatcom/wp,1,1,4,0,0,3,0,0,0
content/themes/handletheheatv2/images/hth logosvg,2,1,2,1,1,2,0,0,0
recipes,1,2,1,0,0,1,0,0,0
recipes submenu,1,1,2,0,0,2,0,0,0
blog,1,1,1,0,0,1,0,0,0
shop,1,1,1,0,0,1,0,0,0
about,1,1,1,0,0,0,0,0,0
about handle the heat,1,1,4,0,0,1,0,0,0
work with me,1,1,3,0,0,1,0,0,0
contact,1,1,1,0,0,1,0,0,0
member s area,2,1,3,0,0,2,0,0,0
recipe categories,2,2,2,0,0,2,0,0,0
all recipes,2,2,2,0,0,1,0,0,0
baking science,1,2,2,0,0,1,1,0,0
chocolate,1,1,1,0,0,1,0,0,0
brownies,1,1,1,0,0,1,0,0,0
cookies,1,1,1,0,0,1,0,0,0
cakes,1,1,1,0,0,1,0,0,0
cupcakes,2,1,1,0,0,1,0,1,0
muffins,1,2,1,0,0,1,0,0,0
pies,1,1,1,0,0,1,0,0,0
cheesecakes,1,1,1,0,0,1,0,0,0
frosting,1,1,1,0,0,0,1,0,0
bread,1,1,1,0,0,1,0,0,0
doughnuts,2,1,1,0,0,1,0,0,0
ice cream,1,2,2,0,0,2,0,0,0
desserts,1,1,1,0,0,1,0,0,0
bar desserts,1,1,2,0,0,2,0,0,0
breakfast,1,1,1,0,0,1,0,0,0
savory,1,1,1,0,0,1,0,0,0
easter,2,1,1,0,0,1,0,0,0
trending now,0,2,2,0,0,0,1,0,0
chocolate chip cookies,1,0,3,0,0,3,0,0,0
recipe data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20180 20180 3e 3c/svg 3e,0,1,16,1,27,3,2,0,0
chocolate,1,0,1,0,0,1,0,0,0
chip cookies recipe https //handletheheatcom/wp,1,1,5,0,0,4,1,0,0
content/uploads/2020/10/bakery style chocolate chip,1,1,4,1,6,4,0,0,0
cookies 9 637x637 1 180x180jpg,2,1,5,1,14,1,0,0,0
bakery style chocolate chip cookies,2,2,5,0,0,5,0,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20180 20180 3e 3c/svg 3e,0,2,15,1,27,3,2,0,0
https //handletheheatcom/wp,1,0,2,0,0,2,0,0,0
content/uploads/2014/05/sour cream doughnuts 04 square 180x180jpg,2,1,6,1,14,2,1,0,0
old fashioned sour cream doughnuts,2,2,5,0,0,2,1,0,0
search recipes,2,2,2,0,0,2,0,0,0
generic filters,2,2,2,0,0,1,0,0,0
hidden label,2,2,2,0,0,2,0,0,0
exact matches only,2,2,3,0,0,1,0,0,0
hidden label,2,2,2,0,0,2,0,0,0
search in title,2,2,3,0,0,2,0,0,0
hidden label,2,2,2,0,0,2,0,0,0
search in content,2,2,3,0,0,2,0,0,0
hidden label,2,2,2,0,0,2,0,0,0
search in excerpt,2,2,3,0,0,2,0,0,0
search recipes,2,2,2,0,0,2,0,0,0
generic filters,2,2,2,0,0,1,0,0,0
hidden label,2,2,2,0,0,2,0,0,0
exact matches only,2,2,3,0,0,1,0,0,0
hidden label,2,2,2,0,0,2,0,0,0
search in title,2,2,3,0,0,2,0,0,0
hidden label,2,2,2,0,0,2,0,0,0
search in content,2,2,3,0,0,2,0,0,0
