Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
main dishes side dishes appetizer desserts,2,0,6,0,0,4,0,0,0
where not explicitly indicated all exploitation and economic use of,1,2,10,0,0,2,1,0,0
photographic material on cookist website shall be considered as property of,1,1,11,0,0,3,2,0,0
getty images supplier,2,1,3,0,0,2,0,0,0
privacy policy policy settings contact us,2,2,6,0,0,4,1,0,0
recipe,2,2,1,0,0,1,0,0,0
caramel cake caramel custard cake,2,2,5,0,0,3,1,0,0
total time 180 min,2,2,4,1,3,2,0,0,0
difficulty low,2,2,2,0,0,1,0,0,0
serves 8 people,2,2,3,1,1,2,0,0,0
by cookist,2,2,2,0,0,1,0,0,0
317,2,2,1,1,3,0,0,0,0
comment,2,2,1,0,0,1,0,0,0
share,2,2,1,0,0,1,0,0,0
chiudi,0,2,1,0,0,1,0,0,0
immagine https //staticfanpageakamaizednet/wp,1,0,3,0,0,3,0,0,0
content/uploads/sites/22/2021/02/caramel cake recipe 1200x675jpg,2,1,4,1,15,1,1,0,0
ingredients,2,2,1,0,0,1,0,0,0
for the caramel,2,2,3,0,0,1,0,0,0
sugar,2,2,1,0,0,1,0,0,1
1/3 cup,2,2,2,1,2,1,0,1,1
for the custard,2,2,3,0,0,1,0,0,0
egg yolks,2,2,2,0,0,2,0,0,1
4,2,2,1,1,1,0,0,0,1
sugar,2,2,1,0,0,1,0,0,1
1/2 cup,2,2,2,1,2,1,0,1,1
condensed milk,2,2,2,0,0,1,1,0,1
1 1/3 cup,2,2,3,1,3,1,0,1,1
vanilla extract,2,2,2,0,0,2,0,0,1
1 tsp,2,2,2,1,1,1,0,1,1
for the cake,2,2,3,0,0,1,0,0,0
orange,2,2,1,0,0,1,0,0,1
zest of 1/2,2,2,3,1,2,1,0,0,1
egg yolk,2,2,2,0,0,2,0,0,1
2,2,2,1,1,1,0,0,0,1
sugar,2,2,1,0,0,1,0,0,1
3 tbsp,2,2,2,1,1,1,0,1,1
vanilla extract,2,2,2,0,0,2,0,0,1
1 tsp,2,2,2,1,1,1,0,1,1
vegetable oil,2,2,2,0,0,1,0,0,1
3 tbsp,2,2,2,1,1,1,0,1,1
orange juice,2,2,2,0,0,2,0,0,1
1/3 cup,2,2,2,1,2,1,0,1,1
flour,2,2,1,0,0,1,0,0,1
100 gr 35 oz,2,2,4,1,5,1,0,0,1
salt,2,2,1,0,0,1,0,0,1
a pinch,2,2,2,0,0,1,0,1,0
baking powder,2,2,2,0,0,1,1,0,1
1 1/4 tsp,2,2,3,1,3,1,0,1,1
egg whites,2,2,2,0,0,2,0,0,1
3,2,2,1,1,1,0,0,0,1
caramel cake also known as a caramel custard cake or leche flan is,1,2,13,0,0,6,3,0,0
decadent it s a classic smooth and soft dessert not too sweet but rich in,1,1,15,0,0,3,1,0,0
caramel flavor the texture is a combination of cake and a cr me caramel,1,1,14,0,0,6,2,0,0
thanks to the creamy caramel topping the cake consists of three distinct,1,1,12,0,0,4,2,0,0
layers baked in the same pan at the same time the bottom layer is light,1,1,15,0,0,4,2,0,0
chiffon cake while the top is a smooth caramel custard there is a final,1,1,14,0,0,4,3,0,0
thin layer of caramel on top once you try this three layer cake you wouldn t,1,1,16,0,0,4,3,0,0
want to eat any other dessert,0,1,6,0,0,2,1,0,0
how to caramelize sugar,2,0,4,0,0,1,1,0,0
you will need to caramelize sugar for this recipe but before you stress it s,1,2,15,0,0,2,4,0,0
really not that hard to do yourself,0,1,7,0,0,0,1,0,0
white sugar is most often used to make a,1,0,9,0,0,1,3,0,0
caramel applying heat to the sugar allows the sugar molecules to break down,1,1,13,0,0,5,3,0,0
into a liquid there are two ways to make a caramel a wet method and a dry,1,1,17,0,0,4,2,0,0
method for this recipe we used a dry method the advantage of the dry method,1,1,15,0,0,5,1,0,0
is that the caramelization process happens very quickly but this also means,1,1,12,0,0,2,3,0,0
that it burns quite quickly so make sure to keep an eye on it,0,1,14,0,0,2,2,0,0
immagine data image/svg xml 3csvg xmlns http //wwww3org/2000/svg,1,0,8,1,6,4,1,0,0
3e 3c/svg 3e,2,1,3,1,3,0,0,0,0
how to make caramel cake,2,2,5,0,0,1,2,0,0
start by caramelizing sugar to do this sprinkle the sugar in a single,1,2,13,0,0,3,3,0,0
layer in a heavy bottomed pot over medium heat allow the sugar to melt,1,1,14,0,0,6,1,1,0
slowly making sure to keep an eye on it the whole time as it starts to melt,1,1,17,0,0,2,4,0,0
use a rubber spatula to gently move the sugar around making sure all the,1,1,14,0,0,3,3,0,0
granules melt,0,1,2,0,0,1,1,0,0
immagine data image/svg xml 3csvg xmlns http //wwww3org/2000/svg,1,0,8,1,6,4,1,0,0
3e 3c/svg 3e,2,1,3,1,3,0,0,0,0
once the sugar melts it will start to caramelize very quickly turn the heat,1,2,14,0,0,3,3,0,0
to low if necessary continue until you achieve a deep brown color,0,1,12,0,0,2,3,0,0
immagine data image/svg xml 3csvg xmlns http //wwww3org/2000/svg,1,0,8,1,6,4,1,0,0
3e 3c/svg 3e,2,1,3,1,3,0,0,0,0
pour caramel into a round 20cm 8 inch cake pan while swirling the pan,1,2,14,1,3,6,1,1,0
around to spread caramel in a thin layer place the caramel in the,1,1,13,0,0,4,1,0,0
refrigerator and allow to set,0,1,5,0,0,1,2,0,0
immagine data image/svg xml 3csvg xmlns http //wwww3org/2000/svg,1,0,8,1,6,4,1,0,0
3e 3c/svg 3e,2,1,3,1,3,0,0,0,0
in the meanwhile prepare the custard simply whisk all the custard,1,2,11,0,0,3,2,0,0
ingredients together until smooth with no visible lumps,0,1,8,0,0,2,0,0,0
immagine data image/svg xml 3csvg xmlns http //wwww3org/2000/svg,1,0,8,1,6,4,1,0,0
3e 3c/svg 3e,2,1,3,1,3,0,0,0,0
to make the cake layer whisk together the orange zest with egg yolks,1,2,13,0,0,7,1,0,0
sugar vanilla vegetable oil and orange juice,0,1,7,0,0,5,0,0,0
immagine data image/svg xml 3csvg xmlns http //wwww3org/2000/svg,1,0,8,1,6,4,1,0,0
3e 3c/svg 3e,2,1,3,1,3,0,0,0,0
combine flour salt and baking powder in another bowl,0,2,9,0,0,4,2,0,0
immagine data image/svg xml 3csvg xmlns http //wwww3org/2000/svg,1,0,8,1,6,4,1,0,0
3e 3c/svg 3e,2,1,3,1,3,0,0,0,0
in the third bowl beat the egg whites with sugar until stiff peaks form,0,2,14,0,0,5,2,0,0
immagine data image/svg xml 3csvg xmlns http //wwww3org/2000/svg,1,0,8,1,6,4,1,0,0
3e 3c/svg 3e,2,1,3,1,3,0,0,0,0
add the flour mixture into the egg yolk mixture and stir to combine,0,2,13,0,0,5,2,0,0
immagine data image/svg xml 3csvg xmlns http //wwww3org/2000/svg,1,0,8,1,6,4,1,0,0
3e 3c/svg 3e,2,1,3,1,3,0,0,0,0
use a spatula to gently fold in the egg whites trying to save as much air as,1,2,17,0,0,3,5,0,0
possible,2,1,1,0,0,0,0,0,0
