,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label,lable
8,0,1,5,0,0,4,0,0,0.0,
9,2,0,4,0,0,3,0,0,0.0,
10,2,2,5,0,0,5,0,0,0.0,
11,2,2,4,0,0,2,1,0,0.0,
12,2,2,4,0,0,1,1,0,0.0,
18,2,1,9,1,1,2,2,0,0.0,
19,2,2,8,1,2,2,1,0,0.0,
20,2,2,5,0,0,1,1,0,0.0,
22,2,2,5,0,0,1,2,0,0.0,
51,2,2,3,0,0,2,0,0,0.0,
58,2,2,3,0,0,2,0,0,0.0,
59,1,2,4,1,2,2,0,0,0.0,
60,1,1,4,1,2,3,0,0,0.0,
61,2,1,4,1,1,2,0,0,0.0,
64,0,0,3,0,0,1,1,0,0.0,
74,2,1,4,1,1,2,0,0,0.0,
75,2,2,3,0,0,2,0,0,0.0,
79,0,0,6,0,0,2,1,0,0.0,
80,1,0,5,0,0,0,2,0,0.0,
82,1,0,7,0,0,4,1,0,0.0,
84,2,2,7,0,0,2,2,0,0.0,
89,1,0,9,0,0,4,1,0,0.0,
91,0,2,4,0,0,1,1,0,0.0,
96,1,1,10,0,0,4,1,0,0.0,
99,0,1,8,0,0,2,2,0,0.0,
100,1,0,8,0,0,3,1,0,0.0,
102,2,1,8,1,1,4,0,0,0.0,
106,1,0,7,0,0,3,1,0,0.0,
108,2,2,5,0,0,1,1,0,0.0,
114,0,1,6,1,1,2,0,0,0.0,
116,1,0,7,0,0,3,1,0,0.0,
118,0,2,6,0,0,3,1,0,0.0,
119,1,0,6,0,0,0,2,0,0.0,
120,0,1,6,0,0,1,1,0,0.0,
122,2,2,3,0,0,2,0,0,0.0,
123,2,2,4,1,3,1,0,0,0.0,
132,1,2,4,0,0,4,0,0,0.0,
133,1,1,4,1,2,2,0,0,0.0,
134,1,1,4,1,2,3,0,0,0.0,
135,1,1,4,1,1,2,0,0,0.0,
136,1,1,4,1,3,2,0,0,0.0,
140,1,2,4,0,0,4,0,0,0.0,
141,1,1,4,1,2,2,0,0,0.0,
142,1,1,4,1,2,3,0,0,0.0,
143,1,1,4,1,1,2,0,0,0.0,
144,1,1,4,1,3,2,0,0,0.0,
150,1,2,4,0,0,4,0,0,0.0,
151,1,1,4,1,2,2,0,0,0.0,
152,1,1,4,1,2,3,0,0,0.0,
153,1,1,4,1,1,2,0,0,0.0,
154,1,1,4,1,3,2,0,0,0.0,
159,1,2,5,1,3,2,1,1,1.0,
160,1,1,6,1,3,2,0,1,1.0,
161,1,1,5,1,1,3,0,0,1.0,
162,1,1,5,1,3,3,0,1,1.0,
163,1,1,3,1,2,2,0,1,1.0,
164,1,1,4,1,1,3,0,1,1.0,
165,1,1,5,1,2,2,1,1,1.0,
166,2,1,6,1,2,2,1,0,1.0,
173,2,0,3,0,0,1,1,0,0.0,
174,2,2,10,0,0,6,1,0,0.0,
175,2,2,3,0,0,1,2,0,0.0,
176,0,2,5,0,0,1,2,0,0.0,
177,4,0,4,0,0,2,0,0,0.0,
179,2,0,4,0,0,0,1,0,0.0,
183,2,2,4,0,0,4,0,0,0.0,
187,2,2,5,0,0,2,1,1,0.0,
191,2,2,9,1,1,4,1,0,0.0,
199,2,2,4,1,2,2,0,0,0.0,
205,0,2,3,0,0,2,1,0,0.0,
207,1,2,8,0,0,3,1,0,0.0,
208,1,1,8,0,0,3,0,0,0.0,
209,0,1,8,0,0,0,2,0,0.0,
213,0,2,3,0,0,2,0,0,0.0,
220,0,2,4,0,0,2,0,0,0.0,
222,2,2,4,0,0,3,0,0,0.0,
223,0,2,5,0,0,2,1,0,0.0,
226,0,2,5,0,0,3,0,0,0.0,
229,0,2,6,0,0,3,0,0,0.0,
231,0,2,7,0,0,3,1,0,0.0,
239,2,2,3,1,1,1,1,0,0.0,
243,0,1,3,0,0,1,0,0,0.0,
244,0,0,5,0,0,2,0,0,0.0,
245,0,0,3,0,0,0,1,0,0.0,
247,2,2,4,0,0,3,1,0,0.0,
249,0,2,6,0,0,0,1,0,0.0,
253,2,2,3,1,1,1,1,0,0.0,
257,1,1,8,0,0,4,1,0,0.0,
258,2,1,3,0,0,1,0,0,0.0,
260,2,2,3,1,1,1,1,0,0.0,
265,1,0,3,0,0,0,1,0,0.0,
268,2,2,3,1,1,1,1,0,0.0,
270,2,2,5,0,0,3,1,0,0.0,
272,2,2,3,1,1,1,1,0,0.0,
274,0,2,3,0,0,1,0,0,0.0,
275,0,0,3,0,0,1,0,0,0.0,
276,1,0,6,0,0,2,1,0,0.0,
