Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
like mother like,1,0,3,0,0,1,0,0,0
daughter data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20300 20112 3e 3c/svg 3e,0,1,16,1,27,3,2,0,0
like,1,0,1,0,0,0,0,0,0
mother like daughter /wp content/themes/pmd lmld/images/headersvg,2,1,6,0,0,5,0,0,0
search recipes,2,2,2,0,0,2,0,0,0
home,1,2,1,0,0,1,0,0,0
about,1,1,1,0,0,0,0,0,0
about us,1,1,2,0,0,0,0,0,0
faqs,1,1,1,0,0,1,0,0,0
bucket lists,1,1,2,0,0,2,0,0,0
ellen s 55 before 55,1,1,5,1,4,0,1,0,0
aimee s 100,1,1,3,1,3,1,1,0,0
recipe index,1,1,2,0,0,2,0,0,0
main dishes,1,1,2,0,0,1,0,0,0
beef,1,1,1,0,0,1,0,0,0
chicken and turkey recipes,1,1,4,0,0,3,0,0,0
pork recipes,1,1,2,0,0,2,0,0,0
seafood recipes,1,1,2,0,0,2,0,0,0
vegetarian recipes,1,1,2,0,0,1,0,0,0
casseroles and enchiladas,1,1,3,0,0,2,0,0,0
pasta and pizza recipes,1,1,4,0,0,3,0,0,0
sandwiches burgers and wraps,1,1,4,0,0,3,0,0,0
slow cooker recipes,1,1,3,0,0,2,0,0,0
soup recipes,1,1,2,0,0,2,0,0,0
dessert recipes,1,1,2,0,0,2,0,0,0
brownies blondies and bars,1,1,4,0,0,3,0,0,0
cakes and cupcakes,1,1,3,0,0,2,0,1,0
candy,1,1,1,0,0,1,0,0,0
cookies,1,1,1,0,0,1,0,0,0
frozen desserts,1,1,2,0,0,1,0,0,0
pies and tarts,1,1,3,0,0,2,0,0,0
breakfast,1,1,1,0,0,1,0,0,0
drinks,1,1,1,0,0,1,0,0,0
sides and appetizers,1,1,3,0,0,2,0,0,0
salad recipes,1,1,2,0,0,2,0,0,0
snack recipes,1,1,2,0,0,2,0,0,0
breads and muffins,1,1,3,0,0,2,0,0,0
dips and salsas,1,1,3,0,0,2,0,0,0
other,1,1,1,0,0,0,0,0,0
baby things,1,1,2,0,0,2,0,0,0
diy and crafts,1,1,3,0,0,2,0,0,0
restaurant reviews,1,1,2,0,0,2,0,0,0
travel posts,1,1,2,0,0,2,0,0,0
contact,1,1,1,0,0,1,0,0,0
contact,1,1,1,0,0,1,0,0,0
work with us,1,1,3,0,0,1,0,0,0
privacy policy,2,1,2,0,0,2,0,0,0
x,2,2,1,0,0,1,0,0,0
skip to primary navigation,1,2,4,0,0,2,0,0,0
skip to main content,1,1,4,0,0,2,0,0,0
skip to primary sidebar,2,1,4,0,0,2,0,0,0
new recipes in your inbox,2,2,5,0,0,2,0,0,0
new recipes in your inbox,0,2,5,0,0,2,0,0,0
like mother like daughter,2,0,4,0,0,2,0,0,0
a blog where a mother and daughter share their favorite recipes,2,2,11,0,0,5,0,0,0
home,1,2,1,0,0,1,0,0,0
about,1,1,1,0,0,0,0,0,0
about us,1,1,2,0,0,0,0,0,0
faqs,1,1,1,0,0,1,0,0,0
bucket lists,1,1,2,0,0,2,0,0,0
ellen s 55 before 55,1,1,5,1,4,0,1,0,0
aimee s 100,1,1,3,1,3,1,1,0,0
recipe index,1,1,2,0,0,2,0,0,0
main dishes,1,1,2,0,0,1,0,0,0
beef,1,1,1,0,0,1,0,0,0
chicken and turkey recipes,1,1,4,0,0,3,0,0,0
pork recipes,1,1,2,0,0,2,0,0,0
seafood recipes,1,1,2,0,0,2,0,0,0
vegetarian recipes,1,1,2,0,0,1,0,0,0
casseroles and enchiladas,1,1,3,0,0,2,0,0,0
pasta and pizza recipes,1,1,4,0,0,3,0,0,0
sandwiches burgers and wraps,1,1,4,0,0,3,0,0,0
slow cooker recipes,1,1,3,0,0,2,0,0,0
soup recipes,1,1,2,0,0,2,0,0,0
dessert recipes,1,1,2,0,0,2,0,0,0
brownies blondies and bars,1,1,4,0,0,3,0,0,0
cakes and cupcakes,1,1,3,0,0,2,0,1,0
candy,1,1,1,0,0,1,0,0,0
cookies,1,1,1,0,0,1,0,0,0
frozen desserts,1,1,2,0,0,1,0,0,0
pies and tarts,1,1,3,0,0,2,0,0,0
breakfast,1,1,1,0,0,1,0,0,0
drinks,1,1,1,0,0,1,0,0,0
sides and appetizers,1,1,3,0,0,2,0,0,0
salad recipes,1,1,2,0,0,2,0,0,0
snack recipes,1,1,2,0,0,2,0,0,0
breads and muffins,1,1,3,0,0,2,0,0,0
dips and salsas,1,1,3,0,0,2,0,0,0
other,1,1,1,0,0,0,0,0,0
baby things,1,1,2,0,0,2,0,0,0
diy and crafts,1,1,3,0,0,2,0,0,0
restaurant reviews,1,1,2,0,0,2,0,0,0
travel posts,1,1,2,0,0,2,0,0,0
contact,1,1,1,0,0,1,0,0,0
