Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
home,1,0,1,0,0,1,0,0,0
recipes,1,1,1,0,0,1,0,0,0
biscuit,2,1,1,0,0,1,0,0,0
ferrero rocher cake,2,2,3,0,0,3,0,0,0
another great addition to your recipe collection,0,2,7,0,0,3,0,0,0
sweet shark cake /media/35flkksf/sweet shark cakejpg,2,0,6,1,2,4,0,0,0
recipe by,2,2,2,0,0,1,0,0,0
sweet shark cake,2,2,3,0,0,1,1,0,0
biscuitbiscuit cakecakecaramelchocolate,0,2,2,0,0,2,0,0,0
ferrero rocher,1,0,2,0,0,2,0,0,0
cake /media/a13lfdgf/sweet shark cake 09062021 1jpg width 800 height 800 mode crop bgcolor ffffff,2,1,14,1,17,6,2,0,0
ingredients,2,2,1,0,0,1,0,0,0
sponge biscuit,2,2,2,0,0,2,0,0,1
eggs,2,2,1,0,0,1,0,0,1
5pc,2,2,1,1,1,0,0,0,1
sugar,2,2,1,0,0,1,0,0,1
85g,2,2,1,1,2,0,0,0,1
298oz,2,2,1,1,3,0,0,0,1
034cup,2,2,1,1,3,0,0,1,1
570tbsp,2,2,1,1,3,0,0,1,1
cocoa powder,2,2,2,0,0,2,0,0,1
30g,2,2,1,1,2,0,0,0,1
105oz,2,2,1,1,3,0,0,0,1
2tbsp,2,2,1,1,1,0,0,1,1
flour,2,2,1,0,0,1,0,0,1
26g,2,2,1,1,2,0,0,0,1
091oz,2,2,1,1,3,0,0,0,1
174tbsp,2,2,1,1,3,0,0,1,1
baking powder,2,2,2,0,0,1,1,0,1
4g,2,2,1,1,1,0,0,0,1
014oz,2,2,1,1,3,0,0,0,1
027tbsp,2,2,1,1,3,0,0,1,1
hazelnuts,2,2,1,0,0,1,0,0,1
200g,2,2,1,1,3,0,0,0,1
7oz,2,2,1,1,1,0,0,0,1
080cup,2,2,1,1,3,0,0,1,1
1340tbsp,2,2,1,1,4,0,0,1,1
filling,2,2,1,0,0,0,1,0,0
butter,2,2,1,0,0,1,0,0,1
200g,2,2,1,1,3,0,0,0,1
7oz,2,2,1,1,1,0,0,0,1
080cup,2,2,1,1,3,0,0,1,1
1340tbsp,2,2,1,1,4,0,0,1,1
chocolate,2,2,1,0,0,1,0,0,1
200g,2,2,1,1,3,0,0,0,1
7oz,2,2,1,1,1,0,0,0,1
080cup,2,2,1,1,3,0,0,1,1
1340tbsp,2,2,1,1,4,0,0,1,1
nutella,2,2,1,0,0,1,0,0,1
100g,2,2,1,1,3,0,0,0,1
