Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
back to log in,0,0,4,0,0,1,0,0,0
general mills foodservice /gmfs/assets/images/gmfslogo printsizepng skip,1,0,6,0,0,5,0,0,0
to content,2,1,2,0,0,0,1,0,0
contact a sales rep find a distributor help center,2,2,9,0,0,6,1,0,0
back,2,2,1,0,0,0,0,0,0
expand menu,2,2,2,0,0,2,0,0,0
products,2,2,1,0,0,1,0,0,0
/gmfs/assets/images/icon mobile pluspng,0,2,3,0,0,3,0,0,0
/gmfs/assets/images/icon,1,0,1,0,0,1,0,0,0
mobile closepng,2,1,2,0,0,1,0,0,0
products by category,2,2,3,0,0,2,0,0,0
/gmfs/assets/images/icon mobile plus bluepng,0,2,4,0,0,1,0,0,0
/gmfs/assets/images/icon mobile close blue 2xpng,0,0,5,1,1,1,0,0,0
/ /media/images/navigation icons/icon new productspng new products,0,0,7,0,0,2,1,1,0
/ /media/images/navigation icons/icon gluten freepng gluten free,0,0,7,0,0,3,1,0,0
/ /media/images/navigation icons/icon baked goodspng baked goods,0,0,7,0,0,3,1,0,0
/ /media/images/navigation icons/icon icon biscuitspng biscuits,0,0,6,0,0,5,0,1,0
/ /media/images/navigation icons/icon cerealpng cereal,0,0,5,0,0,4,0,0,0
/ /media/images/navigation icons/icon flourpng flour,0,0,5,0,0,3,1,0,0
/ /media/images/navigation icons/icon mealspng meals,0,0,5,0,0,4,0,0,0
/ /media/images/navigation icons/icon mixespng mixes,0,0,5,0,0,4,0,0,0
/ /media/images/navigation icons/icon snackspng snacks,0,0,5,0,0,4,0,0,0
/ /media/images/navigation icons/icon vegetablespng vegetables,0,0,5,0,0,4,0,0,0
/ /media/images/navigation icons/icon yogurtpng yogurt,1,0,5,0,0,4,0,0,0
products by business,2,1,3,0,0,2,0,0,0
/gmfs/assets/images/icon mobile plus bluepng,0,2,4,0,0,1,0,0,0
/gmfs/assets/images/icon mobile close blue 2xpng,0,0,5,1,1,1,0,0,0
/ /media/images/navigation icons/icon bakerypng bakery,0,0,5,0,0,4,0,0,0
/ /media/images/navigation icons/icon college university shapepng college university,0,0,8,0,0,7,0,0,0
/ /media/images/navigation icons/icon convenience shapepng convenience,0,0,6,0,0,5,0,0,0
/ /media/images/navigation icons/icon distributor shape 3png distributor,0,0,7,1,1,5,0,0,0
/ /media/images/navigation icons/icon healthcare shapepng healthcare,0,0,6,0,0,5,0,0,0
/ /media/images/navigation icons/icon k12 group 60png k 12,0,0,8,1,6,4,1,0,0
/ /media/images/navigation icons/icon lodging group 59png lodging,0,0,7,1,2,4,1,0,0
/ /media/images/navigation icons/icon pizzeria shape 2png pizzeria,0,0,7,1,1,5,0,0,0
/ /media/images/navigation icons/icon restaurant shapepng restaurant,0,0,6,0,0,5,0,0,0
/ /media/images/navigation icons/icon vending micromart group 58png vending micromart,1,0,9,1,2,5,2,0,0
featured,0,1,1,0,0,0,1,0,0
https //generalmillscfcom/ /media/images/featuredcontent/nav rebates 3png money saving rebates,0,0,8,1,1,5,2,0,0
https //generalmillscfcom/ /media/images/featuredcontent/dunkaroosjpg betty crocker dunkaroos,1,0,6,0,0,6,0,0,0
business solutions,2,1,2,0,0,2,0,0,0
/gmfs/assets/images/icon mobile pluspng,0,2,3,0,0,3,0,0,0
/gmfs/assets/images/icon,1,0,1,0,0,1,0,0,0
mobile closepng,0,1,2,0,0,1,0,0,0
/ /media/images/navigation icons/icon bakerypng bakery,2,0,5,0,0,4,0,0,0
/gmfs/assets/images/icon mobile plus bluepng,0,2,4,0,0,1,0,0,0
/gmfs/assets/images/icon mobile close blue 2xpng,0,0,5,1,1,1,0,0,0
/ /media/images/navigation icons/icon college university shapepng college university,2,0,8,0,0,7,0,0,0
/gmfs/assets/images/icon mobile plus bluepng,0,2,4,0,0,1,0,0,0
/gmfs/assets/images/icon mobile close blue 2xpng,0,0,5,1,1,1,0,0,0
/ /media/images/navigation icons/icon convenience shapepng convenience,2,0,6,0,0,5,0,0,0
/gmfs/assets/images/icon mobile plus bluepng,0,2,4,0,0,1,0,0,0
/gmfs/assets/images/icon mobile close blue 2xpng,0,0,5,1,1,1,0,0,0
/ /media/images/navigation icons/icon distributor shape 3png distributor sales,2,0,8,1,1,6,0,0,0
/gmfs/assets/images/icon mobile plus bluepng,0,2,4,0,0,1,0,0,0
/gmfs/assets/images/icon mobile close blue 2xpng,0,0,5,1,1,1,0,0,0
/ /media/images/navigation icons/icon healthcare shapepng healthcare,2,0,6,0,0,5,0,0,0
/gmfs/assets/images/icon mobile plus bluepng,0,2,4,0,0,1,0,0,0
/gmfs/assets/images/icon mobile close blue 2xpng,0,0,5,1,1,1,0,0,0
/ /media/images/navigation icons/icon k12 group 60png k 12,2,0,8,1,6,4,1,0,0
/gmfs/assets/images/icon mobile plus bluepng,0,2,4,0,0,1,0,0,0
/gmfs/assets/images/icon mobile close blue 2xpng,0,0,5,1,1,1,0,0,0
/ /media/images/navigation icons/icon lodging group 59png lodging,2,0,7,1,2,4,1,0,0
/gmfs/assets/images/icon mobile plus bluepng,0,2,4,0,0,1,0,0,0
/gmfs/assets/images/icon mobile close blue 2xpng,0,0,5,1,1,1,0,0,0
/ /media/images/navigation icons/icon pizzeria shape 2png pizzeria,2,0,7,1,1,5,0,0,0
/gmfs/assets/images/icon mobile plus bluepng,0,2,4,0,0,1,0,0,0
/gmfs/assets/images/icon mobile close blue 2xpng,0,0,5,1,1,1,0,0,0
/ /media/images/navigation icons/icon restaurant shapepng restaurant,2,0,6,0,0,5,0,0,0
/gmfs/assets/images/icon mobile plus bluepng,0,2,4,0,0,1,0,0,0
/gmfs/assets/images/icon mobile close blue 2xpng,0,0,5,1,1,1,0,0,0
/ /media/images/navigation icons/icon vending micromart group 58png vending micromart,2,0,9,1,2,5,2,0,0
/gmfs/assets/images/icon mobile plus bluepng,0,2,4,0,0,1,0,0,0
/gmfs/assets/images/icon mobile close blue 2xpng,2,0,5,1,1,1,0,0,0
featured,0,2,1,0,0,0,1,0,0
https //generalmillscfcom/ /media/images/new industry/restaurant/business building ideas/foodservice insighter magazine new/insighter eblast thumbpng foodservice insighter,1,0,13,0,0,11,1,0,0
culinary,2,1,1,0,0,1,0,0,0
/gmfs/assets/images/icon mobile pluspng,0,2,3,0,0,3,0,0,0
/gmfs/assets/images/icon,1,0,1,0,0,1,0,0,0
mobile closepng,2,1,2,0,0,1,0,0,0
our culinary team,2,2,3,0,0,1,0,0,0
/gmfs/assets/images/icon mobile plus bluepng,0,2,4,0,0,1,0,0,0
