Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
skip to primary navigation,1,0,4,0,0,2,0,0,0
skip to main content,1,1,4,0,0,2,0,0,0
skip to primary sidebar,0,1,4,0,0,2,0,0,0
prettysweet,1,0,1,0,0,1,0,0,0
logo data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 200 200 3e 3c/svg 3e,0,1,16,1,23,3,2,0,0
prettysweet,1,0,1,0,0,1,0,0,0
logo https //prettysweetblogcom/wp content/uploads/2019/05/cropped pretty,1,1,5,1,6,3,1,0,0
sweetpng,2,1,1,0,0,1,0,0,0
home,1,2,1,0,0,1,0,0,0
recipes,1,1,1,0,0,1,0,0,0
brownies and bars,1,1,3,0,0,2,0,0,0
cakes,1,1,1,0,0,1,0,0,0
cookies,1,1,1,0,0,1,0,0,0
dessert,1,1,1,0,0,1,0,0,0
cupcakes and muffins,1,1,3,0,0,2,0,1,0
fried and pastry,1,1,3,0,0,1,1,0,0
healthy,1,1,1,0,0,0,0,0,0
pies and tarts,1,1,3,0,0,2,0,0,0
about,1,1,1,0,0,0,0,0,0
reviews,1,1,1,0,0,1,0,0,0
contact,1,1,1,0,0,1,0,0,0
search,2,1,1,0,0,1,0,0,0
home cakes blueberry yogurt mousse cake,2,2,6,0,0,3,1,0,0
blueberry yogurt mousse cake,2,2,4,0,0,1,2,0,0
8 july 2020 by dea 12 comments,2,2,7,1,7,3,0,0,0
13k shares,2,2,2,1,2,1,0,0,0
pin,1,2,1,0,0,1,0,0,0
share,1,1,1,0,0,1,0,0,0
yummly,1,1,1,0,0,0,0,0,0
tweet,2,1,1,0,0,1,0,0,0
jump to recipe,2,2,3,0,0,1,1,0,0
blueberry yogurt mousse cake is the best fresh and light summer cake made,1,2,13,0,0,4,2,0,0
with an almond lemon sponge wild blueberry gelee and a light greek yogurt,1,1,13,0,0,6,0,0,0
mousse it is an easy cake to make that is not too sweet and will really hit,1,1,17,0,0,2,4,0,0
the spot on summer gatherings,2,1,5,0,0,3,0,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20683 201024 3e 3c/svg 3e,0,2,15,1,28,3,2,0,0
https //prettysweetblogcom/wp,1,0,2,0,0,2,0,0,0
content/uploads/2020/07/blueberry yogurt mousse cake 11 683x1024jpg,2,1,6,1,15,1,2,0,0
how to make blueberry greek yogurt mousse cake,2,2,8,0,0,3,2,0,0
it comes down to three steps for making this delicious blueberry greek yogurt,1,2,13,0,0,3,2,0,0
mousse cake,2,1,2,0,0,1,1,0,0
1 make the almond lemon sponge,2,2,6,1,1,3,1,0,0
start by whipping the egg whites to stiff peaks mix in the egg yolks and then,1,2,16,0,0,5,4,0,0
gently fold in the flour almond mixture so that the sponge doesn t lose the,1,1,15,0,0,5,2,0,0
volume,1,1,1,0,0,1,0,0,0
the whipped eggs are the only thing the sponge relies on to rise and to be,1,1,16,0,0,4,4,0,0
light and spongy but still moist because of the almonds,1,1,10,0,0,3,0,0,0
the sponge is flavored with vanilla and lemon zest for extra flavor,0,1,12,0,0,4,2,0,0
folding flour into whipped eggs data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 201024 201024 3e 3c/svg 3e,0,0,20,1,29,5,4,0,0
folding flour into whipped eggs https //prettysweetblogcom/wp content/uploads/2020/07/mixing the eggs with flour mixture 1024x1024jpg,0,0,14,1,14,4,4,0,0
two circles of unbaked almond sponge on a tray data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 201024 20683 3e 3c/svg 3e,0,0,24,1,28,6,2,0,0
two circles of unbaked almond sponge on a tray https //prettysweetblogcom/wp content/uploads/2020/07/almond sponge 1024x683jpg,0,0,14,1,13,8,0,0,0
two round baked almond sponges data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 201024 20683 3e 3c/svg 3e,0,0,20,1,28,5,3,0,0
two round baked almond sponges https //prettysweetblogcom/wp content/uploads/2020/07/cutting almond sponge 1024x683jpg,2,0,11,1,13,5,3,0,0
the best way to get two even circles out of the sponges is to,2,2,14,0,0,2,3,0,0
draw two 18 cm 7 inch circles on the baking paper and then turn it over so that you see the circles but the batter won t touch the ink,1,2,30,1,3,6,4,1,0
put the batter into a piping bag and pipe the circles to get them extra even the ones on the picture are just poured from the bowl and evened with a spoon,2,1,32,0,0,8,7,0,0
bake the sponge on high heat for 6 minutes let cool and then cut out 17 cm,1,2,17,1,3,5,2,0,0
6 inch circles,2,1,3,1,1,2,0,1,0
usually for wet cakes like this that have a lot of filling or mousse you,1,2,15,0,0,3,2,0,0
want a light and airy sponge that can soak up all the juices from the wet,1,1,16,0,0,4,2,0,0
ingredients the sponge becomes a great binder for all the elements and it s,1,1,14,0,0,4,2,0,0
light and flavorful,2,1,3,0,0,1,0,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20683 201024 3e 3c/svg 3e,0,2,15,1,28,3,2,0,0
https //prettysweetblogcom/wp,1,0,2,0,0,2,0,0,0
content/uploads/2020/07/blueberry yogurt mousse cake 8 683x1024jpg,2,1,6,1,14,1,2,0,0
2 make the wild blueberry gelee,2,2,6,1,1,2,1,0,0
the blueberry gelee is made out of a wild blueberry sauce by cooking the,1,2,14,0,0,4,3,0,0
blueberries with sugar to reduce them and then mixing them with an immersion,1,1,13,0,0,3,2,0,0
blender to get a smooth consistency sauce,2,1,7,0,0,3,1,0,0
you then add the whole wild or american blueberries to the cooled sauce this,1,2,14,0,0,3,2,0,0
will give the gelee a more intense blueberry flavor as they tend to lose or,1,1,15,0,0,3,3,0,0
change the flavor after being cooked,2,1,6,0,0,2,2,0,0
if you are using the american blueberries here be sure to adapt the amount as,1,2,15,0,0,2,4,0,0
they are bigger,0,1,3,0,0,0,1,0,0
blueberry gelee on two round,1,0,5,0,0,3,0,0,0
sponges data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20475 20316 3e 3c/svg 3e,0,1,16,1,27,4,2,0,0
blueberry,1,0,1,0,0,1,0,0,0
gelee on two round sponges https //prettysweetblogcom/wp,1,1,7,0,0,4,1,0,0
content/uploads/2020/07/blueberry gelee and almond,1,1,4,1,6,3,0,0,0
sponge 1024x683jpg distrubute the blueberry gelee on the sponges,2,1,9,1,7,5,0,0,0
you will also add lemon juice to the blueberry gelee for a punch of flavor and,1,2,16,0,0,5,1,0,0
the gelatin to set the gelee i don t like really stiff gelees so naturally,1,1,15,0,0,5,2,0,0
this one is also very loose and melds with the other components better as,1,1,14,0,0,3,1,0,0
everything melts in your mouth,2,1,5,0,0,3,0,0,0
spread the blueberry gelee on the sponges and put in the freezer to set,2,2,14,0,0,4,3,0,0
purple spots on the mousse,1,2,5,0,0,2,0,0,0
as you may have noticed on the two different cakes here in the post one has,1,1,16,0,0,2,3,0,0
purple spots on the outside and one doesn t,1,1,9,0,0,3,0,0,0
the difference is that i froze the sponge and gelee layers completely before,1,1,13,0,0,5,2,0,0
assembling the cake with the one that has no spots,0,1,10,0,0,3,2,0,0
it took about 3 4 hours to,1,0,7,1,2,1,1,0,0
freeze and then i made the mousse and continued the process of assembling,2,1,13,0,0,3,4,0,0
3 make the greek yogurt mousse,2,2,6,1,1,2,1,0,0
this greek yogurt mousse is the easiest version of a mousse to make an,1,2,14,0,0,4,2,0,0
eggless mousse,1,1,2,0,0,2,0,0,0
no creme anglaise or anything fancy just greek yogurt mousse with gelatin,1,1,12,0,0,6,0,0,0
to set it whipped cream to add air and creaminess sugar and elderflower,1,1,13,0,0,5,3,0,0
cordial if desired to sweeten,2,1,5,0,0,0,2,0,0
it is very light and gives the cake a refreshing element that goes great with,1,2,15,0,0,3,3,0,0
blueberries i urge you to use a quality greek yogurt that you love i used,1,1,15,0,0,4,5,0,0
fage as it s my favorite and also more compact than other greek yogurts,2,1,14,0,0,2,1,0,0
the elderflower cordial is just another twist to this recipe and it gives the,1,2,14,0,0,3,2,0,0
whole cake another depth of flavor please use a home made one for the best,1,1,15,0,0,5,2,0,0
results,0,1,1,0,0,1,0,0,0
substitute it with sugar if you wish,2,0,7,0,0,2,1,0,0
the blueberry greek yogurt almond and elderflower is a great combo worth,1,2,12,0,0,6,1,0,0
trying though,0,1,2,0,0,0,1,0,0
a bowl of whipped cream and a bowl of yogurt with gelatin and,1,0,13,0,0,5,0,0,0
sugar data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20567 20377 3e 3c/svg 3e,0,1,16,1,27,3,2,0,0
a,1,0,1,0,0,0,0,0,0
bowl of whipped cream and a bowl of yogurt with gelatin and,1,1,12,0,0,5,0,0,0
sugar https //prettysweetblogcom/wp content/uploads/2020/07/whipped cream,1,1,5,1,6,4,1,0,0
and greek yogurt 1024x683jpg softly whipped cream soft peaks on the left,1,1,12,1,7,4,1,0,0
and the greek yogurt mixed with sugar and gelatin on the right,2,1,12,0,0,4,0,0,0
you start by preparing the gelatin according to the packaging instructions,1,2,11,0,0,3,3,0,0
usually blooming it in cold water if using powdered gelatin or soaking it in,1,1,14,0,0,2,4,0,0
cold water if using gelatin sheets,1,1,6,0,0,2,1,0,0
then you mix the greek yogurt with sugar and elderflower cordial,1,1,11,0,0,3,2,0,0
beat the cream to soft peaks it should just hold its shape and not be,1,1,15,0,0,4,2,0,0
fully whipped this way it s easier to fold it into the greek yogurt and to,1,1,16,0,0,2,3,0,0
pipe into the cake ring,2,1,5,0,0,3,0,0,0
mix the prepared gelatin with a few tablespoons of the yogurt and melt it,1,2,14,0,0,3,2,1,0
together add to the rest of the yogurt and mix well,2,1,11,0,0,3,1,0,0
now fold the cream gently into the greek yogurt,0,2,9,0,0,2,1,0,0
a bowl with mixed whipped cream and greek,1,0,8,0,0,3,1,0,0
yogurt data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 201024 20683 3e 3c/svg 3e,0,1,16,1,28,3,2,0,0
a,1,0,1,0,0,0,0,0,0
bowl with mixed whipped cream and greek,1,1,7,0,0,3,1,0,0
yogurt https //prettysweetblogcom/wp content/uploads/2020/07/mixing whipped,1,1,5,1,6,4,1,0,0
cream and yogurt 1024x683jpg gently fold the whipped cream to the greek,1,1,12,1,7,3,1,0,0
yogurt,2,1,1,0,0,1,0,0,0
4 assemble the blueberry yogurt mousse cake,2,2,7,1,1,3,1,0,0
after you have all of your components for the blueberry greek yogurt mousse,1,2,13,0,0,4,1,0,0
cake ready begin to assemble the cake,1,1,7,0,0,2,2,0,0
i love this part when all the prep work is done and all that s left to do is,1,1,19,0,0,3,7,0,0
stack and assemble,2,1,3,0,0,1,0,0,0
prepare your 18 cm 7 inch cake ring or springform pan i have an adjustable,1,2,15,1,3,6,2,1,0
cake ring that i place on a cake board as you can see on the picture you can,1,1,18,0,0,6,1,0,0
use a springform pan but a normal cake tin will not work as you will have no,1,1,17,0,0,4,3,0,0
way of removing the cake from the tin,0,1,8,0,0,3,1,0,0
blueberry gelee on a sponge in a round cake,1,0,9,0,0,5,0,0,0
tin data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20580 20386 3e 3c/svg 3e,0,1,16,1,27,3,2,0,0
blueberry,1,0,1,0,0,1,0,0,0
gelee on a sponge in a round cake tin https //prettysweetblogcom/wp,1,1,11,0,0,7,0,0,0
content/uploads/2020/07/assembling the blueberry yogurt,1,1,4,1,6,2,1,0,0
cake 1024x683jpg assembling the yogurt mousse cake,2,1,7,1,7,3,2,0,0
i love using an acetate foil made for lining cake rings with the purpose,1,2,14,0,0,5,4,0,0
of leaving the edges of the cake nice and even you can leave that out if you,1,1,17,0,0,3,2,0,0
don t have it but if you make cakes often i would recommend getting it,0,1,15,0,0,3,5,0,0
place your first sponge blueberry gelee side up in the center of the cake,1,0,14,0,0,5,2,0,0
ring the sponge is small enough to leave the greek yogurt mousse to be piped,1,1,15,0,0,3,5,1,0
around it,2,1,2,0,0,0,0,0,0
pipe the greek yogurt mousse around the sponge and on top of it,0,2,13,0,0,4,0,0,0
running the pallet knife on top of the yogurt mousse data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20683 201024 3e 3c/svg 3e,0,0,25,1,28,7,3,0,0
running the pallet knife on top of the yogurt mousse https //prettysweetblogcom/wp content/uploads/2020/07/smoothing the yogurt mousse 683x1024jpg run the pallet knife on top of the greek yogurt mousse to evenly distribute,0,0,31,1,13,13,5,0,0
close up on a yogurt mousse in a cake tin data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20683 201024 3e 3c/svg 3e,0,0,25,1,28,6,2,0,0
close up on a yogurt mousse in a cake tin https //prettysweetblogcom/wp content/uploads/2020/07/yougurt mousse piped 683x1024jpg spread the yogurt mousse to the sides of the cake pan before adding the almond sponge with blueberries to reduce the air pockets,0,0,39,1,13,19,3,0,0
piping the greek yogurt mousse on top of blueberry gelee in a cake pan data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20683 201024 3e 3c/svg 3e,0,0,29,1,28,9,3,0,0
piping the greek yogurt mousse on top of blueberry gelee in a cake pan https //prettysweetblogcom/wp content/uploads/2020/07/piping yougurt mousse 683x1024jpg pipe the greek yogurt mousse on top of blueberry gelee,0,0,30,1,13,13,4,0,0
filled cake ring with yogurt mousse data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 201024 201024 3e 3c/svg 3e,0,0,21,1,29,6,4,0,0
