Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
https //wwwrecipezazzcom/rz new/img/site logopng,2,0,4,0,0,2,1,0,0
recipe categories,0,2,2,0,0,2,0,0,0
https //wwwrecipezazzcom/rz new/img/categories/menu coursepng course,2,0,5,0,0,3,1,0,0
appetizers 3038,2,2,2,1,4,1,0,0,0
beverages 2109,2,2,2,1,4,1,0,0,0
breakfast 2601,2,2,2,1,4,1,0,0,0
desserts 5732,2,2,2,1,4,1,0,0,0
dinner 11661,2,2,2,1,5,1,0,0,0
lunch 6819,0,2,2,1,4,1,0,0,0
https //wwwrecipezazzcom/rz new/img/categories/menu ingredientpng ingredient,2,0,5,0,0,5,0,0,0
beef 3355,2,2,2,1,4,1,0,0,0
pasta 1884,2,2,2,1,4,1,0,0,0
pork 3436,2,2,2,1,4,1,0,0,0
poultry 4008,2,2,2,1,4,1,0,0,0
salmon 493,0,2,2,1,3,1,0,0,0
https //wwwrecipezazzcom/rz new/img/categories/menu cuisinepng cuisine,2,0,5,0,0,5,0,0,0
asian 1118,2,2,2,1,4,0,0,0,0
indian 423,2,2,2,1,3,0,0,0,0
italian 1622,2,2,2,1,4,0,0,0,0
mexican 1190,2,2,2,1,4,0,0,0,0
southern 1287,2,2,2,1,4,0,0,0,0
thai 289,0,2,2,1,3,1,0,0,0
https //wwwrecipezazzcom/rz new/img/categories/menu conveniencepng convenience,2,0,5,0,0,4,0,0,0
5 minute prep 3457,2,2,4,1,5,2,0,0,0
casseroles 1442,2,2,2,1,4,1,0,0,0
kid pleaser 7235,2,2,3,1,4,2,0,0,0
quick meals 14845,2,2,3,1,5,1,0,0,0
small batch cooking 2642,0,2,4,1,4,2,0,1,0
https //wwwrecipezazzcom/rz new/img/categories/menu occasionpng occasion,2,0,5,0,0,5,0,0,0
brunch 5725,2,2,2,1,4,1,0,0,0
game/sports day 5659,2,2,3,1,4,2,0,0,0
new years 2247,2,2,3,1,4,1,0,0,0
potluck 4565,2,2,2,1,4,1,0,0,0
sunday dinner 7932,2,2,3,1,4,2,0,0,0
valentine s day 1242,0,2,4,1,4,2,0,0,0
https //wwwrecipezazzcom/rz new/img/categories/menu cooking stylepng cooking style,2,0,7,0,0,5,1,0,0
blender 1062,2,2,2,1,4,1,0,0,0
grilling outdoor 1591,2,2,3,1,4,1,1,0,0
oven bake 10575,2,2,3,1,5,0,1,0,0
oven roast 1228,2,2,3,1,4,1,0,0,0
pressure cooker 60,2,2,3,1,2,2,0,0,0
slow cooker 855,2,2,3,1,3,1,0,0,0
wok/stir fry 626,0,2,3,1,3,1,1,0,0
https //wwwrecipezazzcom/rz new/img/categories/menu dietpng diet,2,0,5,0,0,5,0,0,0
diabetic 1323,2,2,2,1,4,0,0,0,0
gluten free 13026,2,2,3,1,5,1,0,0,0
heart healthy 2286,2,2,3,1,4,1,0,0,0
vegan 2884,2,2,2,1,4,1,0,0,0
vegetarian 14216,0,2,2,1,5,0,0,0,0
https //wwwrecipezazzcom/rz new/img/categories/menu make it withpng make it with,2,0,9,0,0,2,2,0,0
cake mix 253,2,2,3,1,3,1,1,0,0
canned fruit 273,2,2,3,1,3,1,1,0,0
canned tomatoes 1086,2,2,3,1,4,1,1,0,0
frozen vegetables 492,2,2,3,1,3,1,0,0,0
make it from scratch 10732,2,2,5,1,5,1,1,0,0
wine 1212,2,2,2,1,4,1,0,0,0
all recipes,2,2,2,0,0,1,0,0,0
1,1,2,1,1,1,0,0,0,0
1 notifications clear all,1,1,4,1,1,1,1,0,0
no cost to join recipezazzcom so join now,0,1,8,0,0,2,1,0,0
create account,1,0,2,0,0,2,0,0,0
browse recipes,0,1,2,0,0,2,0,0,0
https //wwwrecipezazzcom/rz new/img/categories/menu coursepng course,2,0,5,0,0,3,1,0,0
appetizers 3038,2,2,2,1,4,1,0,0,0
beverages 2109,2,2,2,1,4,1,0,0,0
breakfast 2601,2,2,2,1,4,1,0,0,0
desserts 5732,2,2,2,1,4,1,0,0,0
dinner 11661,2,2,2,1,5,1,0,0,0
lunch 6819,0,2,2,1,4,1,0,0,0
https //wwwrecipezazzcom/rz new/img/categories/menu ingredientpng ingredient,2,0,5,0,0,5,0,0,0
beef 3355,2,2,2,1,4,1,0,0,0
pasta 1884,2,2,2,1,4,1,0,0,0
pork 3436,2,2,2,1,4,1,0,0,0
poultry 4008,2,2,2,1,4,1,0,0,0
salmon 493,0,2,2,1,3,1,0,0,0
https //wwwrecipezazzcom/rz new/img/categories/menu cuisinepng cuisine,2,0,5,0,0,5,0,0,0
asian 1118,2,2,2,1,4,0,0,0,0
indian 423,2,2,2,1,3,0,0,0,0
italian 1622,2,2,2,1,4,0,0,0,0
mexican 1190,2,2,2,1,4,0,0,0,0
southern 1287,2,2,2,1,4,0,0,0,0
thai 289,0,2,2,1,3,1,0,0,0
https //wwwrecipezazzcom/rz new/img/categories/menu conveniencepng convenience,2,0,5,0,0,4,0,0,0
5 minute prep 3457,2,2,4,1,5,2,0,0,0
casseroles 1442,2,2,2,1,4,1,0,0,0
kid pleaser 7235,2,2,3,1,4,2,0,0,0
quick meals 14845,2,2,3,1,5,1,0,0,0
small batch cooking 2642,0,2,4,1,4,2,0,1,0
https //wwwrecipezazzcom/rz new/img/categories/menu occasionpng occasion,2,0,5,0,0,5,0,0,0
brunch 5725,2,2,2,1,4,1,0,0,0
game/sports day 5659,2,2,3,1,4,2,0,0,0
new years 2247,2,2,3,1,4,1,0,0,0
potluck 4565,2,2,2,1,4,1,0,0,0
sunday dinner 7932,2,2,3,1,4,2,0,0,0
valentine s day 1242,0,2,4,1,4,2,0,0,0
https //wwwrecipezazzcom/rz new/img/categories/menu cooking stylepng cooking style,2,0,7,0,0,5,1,0,0
blender 1062,2,2,2,1,4,1,0,0,0
grilling outdoor 1591,2,2,3,1,4,1,1,0,0
oven bake 10575,2,2,3,1,5,0,1,0,0
oven roast 1228,2,2,3,1,4,1,0,0,0
pressure cooker 60,2,2,3,1,2,2,0,0,0
slow cooker 855,2,2,3,1,3,1,0,0,0
wok/stir fry 626,0,2,3,1,3,1,1,0,0
https //wwwrecipezazzcom/rz new/img/categories/menu dietpng diet,2,0,5,0,0,5,0,0,0
diabetic 1323,2,2,2,1,4,0,0,0,0
gluten free 13026,2,2,3,1,5,1,0,0,0
heart healthy 2286,2,2,3,1,4,1,0,0,0
vegan 2884,2,2,2,1,4,1,0,0,0
vegetarian 14216,0,2,2,1,5,0,0,0,0
https //wwwrecipezazzcom/rz new/img/categories/menu make it withpng make it with,2,0,9,0,0,2,2,0,0
cake mix 253,2,2,3,1,3,1,1,0,0
canned fruit 273,2,2,3,1,3,1,1,0,0
canned tomatoes 1086,2,2,3,1,4,1,1,0,0
frozen vegetables 492,2,2,3,1,3,1,0,0,0
make it from scratch 10732,2,2,5,1,5,1,1,0,0
wine 1212,2,2,2,1,4,1,0,0,0
all recipes,1,2,2,0,0,1,0,0,0
recipes,1,1,1,0,0,1,0,0,0
articles,1,1,1,0,0,1,0,0,0
forums,1,1,1,0,0,1,0,0,0
meal planner,1,1,2,0,0,2,0,0,0
login,2,1,1,0,0,1,0,0,0
advanced search search,2,2,3,0,0,2,0,0,0
keyword search all words anywords exact phrase,4,2,7,0,0,5,0,0,0
search go,2,4,2,0,0,1,1,0,0
browse all categories,2,2,3,0,0,1,0,0,0
home,1,2,1,0,0,1,0,0,0
recipes,1,1,1,0,0,1,0,0,0
main category,1,1,2,0,0,1,0,0,0
nuts/seeds,1,1,1,0,0,1,0,0,0
flour,2,1,1,0,0,1,0,0,0
double almond delight cookies,2,2,4,0,0,3,0,0,0
2,2,2,1,1,1,0,0,0,0
write review,0,2,2,0,0,1,0,0,0
double almond delight cookies,2,0,4,0,0,3,0,0,0
/rz new/img/icons/photo blackpng,0,2,3,0,0,2,0,0,0
double almond delight cookies,2,0,4,0,0,3,0,0,0
16,1,2,1,1,2,0,0,0,0
servings,2,1,1,0,0,1,0,0,0
15m pt15m,1,2,2,1,4,1,0,0,0
prep time,2,1,2,0,0,2,0,0,0
10m pt10m,1,2,2,1,4,1,0,0,0
cook time,2,1,2,0,0,2,0,0,0
25m,1,2,1,1,2,0,0,0,0
ready in,2,1,2,0,0,0,0,0,0
recipe 10856,2,2,2,1,5,1,0,0,0
october 28 2013,2,2,3,1,6,0,0,0,0
categories desserts cookies shaped snacks nuts/seeds almond,1,2,7,0,0,5,2,0,0
southern add it in the lunch box budget friendly easy/beginner cooking,1,1,11,0,0,5,1,0,0
kid pleaser christmas entertaining game/sports day potluck oven,1,1,8,0,0,4,3,0,0
bake vegetarian make it from scratch flour kosher dairy more,0,1,10,0,0,4,2,0,0
recipe by,1,0,2,0,0,1,0,0,0
chef shapeweaver,2,1,2,0,0,2,0,0,0
save,1,2,1,0,0,0,1,0,0
recipe,2,1,1,0,0,1,0,0,0
rate,1,2,1,0,0,1,0,0,0
review,2,1,1,0,0,1,0,0,0
print,2,2,1,0,0,1,0,0,0
get,1,2,1,0,0,0,1,0,0
cooking,2,1,1,0,0,1,0,0,0
pin,2,2,1,0,0,1,0,0,0
share,2,2,1,0,0,1,0,0,0
