Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
https //bromabakerycom/wp content/uploads/2021/04/broma logopng,2.0,0.0,4.0,1.0,6.0,4.0,0.0,0.0,0
recipes,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0
breads,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0
breakfast,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
desserts,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
drinks,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
savory,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
recipe index,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0
homemade cinnamon rolls soft fluffy,0.0,1.0,5.0,0.0,0.0,4.0,0.0,0.0,0
lemon poppy seed bread,2.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0
potato chip chocolate chip cookies,2.0,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0
chocolate covered pretzel brownies,2.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,0
orange upside down cake,2.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0
lifestyle,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0
business,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0
fashion,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
home,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
travel,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
5 outfits to wear when you work from home,2.0,1.0,9.0,1.0,1.0,2.0,2.0,0.0,0
10 kitchen essentials you can t live without,2.0,2.0,8.0,1.0,2.0,2.0,1.0,0.0,0
how to make a cheeseboard,2.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0
how i learned that eating a cookie is part of a healthy diet,2.0,2.0,13.0,0.0,0.0,4.0,3.0,0.0,0
productivity hacks we swear by,2.0,2.0,5.0,0.0,0.0,1.0,2.0,0.0,0
foodtography school,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0
shop,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
x,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0
subscribe,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0
recipes,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0
row,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
column,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
breads,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
breakfast,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
desserts,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
drinks,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
savory,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
recipe index,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0
column,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
widget area,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0
lifestyle,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
row,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
column,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
business,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
fashion,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
home,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
travel,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
column,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
widget area,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0
foodtography school,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0
