Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
stay up to date,2,0,4,0,0,1,1,0,0
skip to primary navigation,1,2,4,0,0,2,0,0,0
skip to main content,1,1,4,0,0,2,0,0,0
skip to primary sidebar,0,1,4,0,0,2,0,0,0
mess in the,1,0,3,0,0,1,0,0,0
kitchen data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20640 20340 3e 3c/svg 3e,0,1,16,1,27,3,2,0,0
mess,1,0,1,0,0,1,0,0,0
in the kitchen https //messinthekitchencom/wp,1,1,5,0,0,3,0,0,0
content/uploads/2021/01/cropped cropped mitk logo 640 2 1png,2,1,7,1,11,0,3,0,0
home,1,2,1,0,0,1,0,0,0
recipes,1,1,1,0,0,1,0,0,0
about me,1,1,2,0,0,0,0,0,0
email,1,1,1,0,0,1,0,0,0
instagram,1,1,1,0,0,1,0,0,0
pinterest,2,1,1,0,0,1,0,0,0
search,2,2,1,0,0,1,0,0,0
death by chocolate cake,2,2,4,0,0,3,0,0,0
may 21 2021 by nicole beaulieu 2 comments,2,2,8,1,7,2,0,0,0
love it,0,2,2,0,0,0,1,0,0
share it,0,0,2,0,0,1,0,0,0
62 shares,2,0,2,1,2,1,0,0,0
pinterest34,1,2,1,1,2,1,0,0,0
facebook28,1,1,1,1,2,1,0,0,0
twitter,1,1,1,0,0,1,0,0,0
email,2,1,1,0,0,1,0,0,0
jump to recipe print recipe,2,2,5,0,0,3,1,0,0
i wouldn t mind a death by chocolate cake,0,2,9,0,0,6,1,0,0
ultra moist rich chocolate,1,0,4,0,0,2,0,0,0
cake layered with chocolate buttercream and topped with silky ganache it s,1,1,12,0,0,4,3,0,0
the perfect surprise for the chocolate lover in your life,0,1,10,0,0,4,0,0,0
with my detailed,1,0,3,0,0,0,0,0,0
instructions and pro tips even novice bakers can put this beautiful cake,1,1,12,0,0,4,1,0,0
together with ease,0,1,3,0,0,1,0,0,0
death by chocolate cake with a piece cut from it revealing the layers of,1,0,14,0,0,6,1,0,0
buttercream,1,1,1,0,0,1,0,0,0
inside data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 201200 201500 3e 3c/svg 3e,0,1,16,1,29,3,2,0,0
death,1,0,1,0,0,1,0,0,0
by chocolate cake with a piece cut from it revealing the layers of buttercream,1,1,14,0,0,5,1,0,0
inside https //messinthekitchencom/wp content/uploads/2021/05/death by,1,1,5,1,6,2,0,0,0
chocolate cake 1jpg,2,1,3,1,1,2,0,0,0
my cravings may change from day to day but one thing will always stay,1,2,14,0,0,4,2,0,0
constant no matter what time of year whether it s the crack of dawn,1,1,14,0,0,5,1,0,0
evening middle of the night if you ask about my ideal dessert it will,1,1,14,0,0,4,2,0,0
always have chocolate of some sort the deep dark rich flavors the silky,1,1,13,0,0,4,2,0,0
melt it s a heavenly ingredient,2,1,6,0,0,2,1,0,0
my dad s birthday was coming up and he told me to do whatever i wanted for,1,2,17,0,0,3,6,0,0
his cake i figured this would be the perfect occasion to go all out on,1,1,15,0,0,3,3,0,0
something special,0,1,2,0,0,1,0,0,0
chocolate on chocolate on chocolate i m no professional,1,0,9,0,0,4,1,0,0
baker let alone a professional when it comes to cooking at all if i can,1,1,15,0,0,2,3,0,0
make this cake so can you,0,1,6,0,0,1,1,0,0
ingredients,0,0,1,0,0,1,0,0,0
ingredients used to make rich chocolate,1,0,6,0,0,2,2,0,0
cake data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 201200 201321 3e 3c/svg 3e,0,1,16,1,29,3,2,0,0
ingredients,1,0,1,0,0,1,0,0,0
used to make rich chocolate cake https //messinthekitchencom/wp,1,1,8,0,0,4,2,0,0
content/uploads/2021/05/chocolate cake ingredients 1jpg,2,1,4,1,7,3,0,0,0
chocolate cake,2,2,2,0,0,2,0,0,0
instant espresso powder if you have instant coffee instead just double the amount called for to have the same strength of flavor you can replace the instant espresso and 1 cup of water in this recipe with 1 cup of brewed coffee,1,2,42,1,2,12,5,1,0
water make sure the water is hot enough to dissolve the instant espresso,1,1,13,0,0,3,3,0,0
flour i used all purpose flour but cake flour can be used instead in this case use an extra 1/4 cup of cake flour for the recipe,1,1,27,1,2,9,5,1,0
sugar regular granulated sugar,1,1,4,0,0,3,1,0,0
cocoa if you can get high quality cocoa powder black cocoa powder will give you cake and extra dark and rich look,1,1,22,0,0,8,3,0,0
baking powder soda i like to combine both baking powder and baking soda for the perfect texture if you want to use one i would use 1 tbsp of baking powder,1,1,31,1,1,10,7,1,0
salt use more or less as per your preference,1,1,9,0,0,3,0,0,0
buttermilk to make your own buttermilk measure out 1 cup of regular milk minus 1 tbsp then whisk 1 tbsp white vinegar into the milk and let it sit for a few minutes until it separates use in the recipe exactly as directed,1,1,43,1,3,12,6,1,0
vegetable oil you can use other mild flavored oils such as canola sunflower or grapeseed melted butter will also work,1,1,20,0,0,7,4,0,0
eggs i used large eggs,1,1,5,0,0,2,2,0,0
vanilla extract or paste whatever you have handy,0,1,8,0,0,3,1,0,0
ingredients used to make chocolate buttercream and chocolate,1,0,8,0,0,4,2,0,0
ganache data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20840 20649 3e 3c/svg 3e,0,1,16,1,27,3,2,0,0
ingredients,1,0,1,0,0,1,0,0,0
used to make chocolate buttercream and chocolate,1,1,7,0,0,3,2,0,0
ganache https //messinthekitchencom/wp content/uploads/2021/05/chocolate,1,1,4,1,6,4,0,0,0
cake ingredients 2jpg,2,1,3,1,1,2,0,0,0
chocolate buttercream,2,2,2,0,0,2,0,0,0
butter softened at room temperature if you soften it in the microwave and some of it melts let it re harden at room temperature for 10 20 minutes to ensure your buttercream turns out properly,1,2,35,1,4,9,7,0,0
vanilla extract or paste,1,1,4,0,0,3,0,0,0
icing sugar also known as powdered sugar or confectioner s sugar i don t suggest using granulated sugar,0,1,18,0,0,7,6,0,0
it will give you a grainy consistency,1,0,7,0,0,1,1,0,0
cocoa just like the cake i suggest using better quality cocoa if you can,1,1,14,0,0,5,2,0,0
milk any type even dairy free alternatives if that s what s in your fridge,0,1,15,0,0,5,2,0,0
the milk is here for you to get your preferred buttercream consistency,2,0,12,0,0,3,2,0,0
chocolate ganache,2,2,2,0,0,2,0,0,0
chocolate chips or chopped up baking chocolate use any type you prefer dark/ semisweet chocolate works best for the ganache,1,2,20,0,0,8,4,0,0
whipping cream if you want a lower fat option i would go as low as 18 mf table cream for making ganache,2,1,22,1,2,6,4,0,0
how to make death by chocolate cake,0,2,7,0,0,3,1,0,0
a step collage showing how to make chocolate,1,0,8,0,0,3,2,0,0
cake data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 201200 201200 3e 3c/svg 3e,0,1,16,1,29,3,2,0,0
a,1,0,1,0,0,0,0,0,0
step collage showing how to make chocolate,1,1,7,0,0,3,2,0,0
cake https //messinthekitchencom/wp content/uploads/2021/05/chocolate cake,1,1,5,1,6,5,0,0,0
step 1jpg,2,1,2,1,1,1,0,0,0
chocolate cake,2,2,2,0,0,2,0,0,0
1 prep preheat the oven to 350f prepare two 8 or 9 round cake pans by spraying them lightly with cooking spray and lining them with parchment paper,1,2,28,1,6,8,3,0,0
2 dry ingredients sift the flour cocoa baking powder baking soda and salt into a mixing bowl and whisk until well combined,1,1,22,1,1,9,4,0,0
3 wet ingredients whisk the instant espresso powder and hot water in a large mixing bowl then add the buttermilk oil eggs and vanilla mix until well combined add the dry ingredients to the wet ingredients and mix until you no longer see flour,1,1,44,1,1,15,4,0,0
4 bake disperse the batter evenly between the two cake pans bake for 25 30 minutes or until a toothpick inserted into the middle of the cakes comes out clean let the cakes cool completely to room temperature,0,1,38,1,5,12,5,0,0
a step collage showing how to make chocolate,1,0,8,0,0,3,2,0,0
buttercream data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 201200 202425 3e 3c/svg 3e,0,1,16,1,29,3,2,0,0
a,1,0,1,0,0,0,0,0,0
step collage showing how to make chocolate,1,1,7,0,0,3,2,0,0
buttercream https //messinthekitchencom/wp,1,1,3,0,0,3,0,0,0
content/uploads/2021/05/chocolate cake step collage 2jpg,2,1,5,1,7,3,1,0,0
chocolate buttercream,2,2,2,0,0,2,0,0,0
1 whip the ingredients using a stand mixer or hand mixer whip the butter and vanilla until light and fluffy sift the powdered sugar and cocoa to the bowl and starting on low speed beat until just combined,1,2,38,1,1,14,4,0,0
2 adjust consistency increase the speed to medium high and continue to beat until the cocoa and sugar are well combined add the milk 1 tbsp at a time until you reach your desired consistency,2,1,35,1,2,8,7,1,0
chocolate ganache,2,2,2,0,0,2,0,0,0
1 add the chocolate chips to a small bowl heat the cream in a small saucepan until it just bubbles around the edges remove from the heat and pour over the chips let it stand for 1 minute then whisk until smooth,0,2,42,1,2,12,6,1,0
chocolate ganache dripping from a,1,0,5,0,0,2,1,0,0
whisk data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 201200 201200 3e 3c/svg 3e,0,1,16,1,29,3,2,0,0
chocolate,1,0,1,0,0,1,0,0,0
ganache dripping from a whisk https //messinthekitchencom/wp,1,1,7,0,0,3,1,0,0
content/uploads/2021/05/chocolate ganachejpg,2,1,2,1,6,2,0,0,0
how to assemble death by chocolate cake,2,2,7,0,0,3,1,0,0
you can take bits and pieces from what i ve done and add your own spin or do,1,2,18,0,0,4,5,0,0
it completely differently if you want yours to look just like mine this is,1,1,14,0,0,2,3,0,0
what i did,2,1,3,0,0,1,1,0,0
1 let the cake cool down fully,0,2,7,1,1,1,2,0,0
it will melt the buttercream otherwise you can even let the cake cool fully in the fridge to be safe once it has reached room temperature cover it with plastic so that it doesn t dry out if you aren t going to decorate right away,1,0,46,0,0,8,10,0,0
2 remove the cakes from their pans and peel the parchment paper from the bottoms of the cake use a bread or cake knife to slice the dome off of the cakes work slowly to make sure the cake stays level,1,1,41,1,1,12,7,1,0
3 you can do 2 or 4 layers no matter how many layers you end up with make sure to layer it as such place a round of cake with the smooth bottom side down and the sliced side up smooth a level layer of buttercream over the cake,1,1,49,1,3,12,3,1,0
4 if you re making two layers the top layer should be flipped upside down to the smooth uncut side is facing up to make 4 layers layer the inner pieces of cake with buttercream and finish with the bottom smooth round facing up this will ensure your cake is perfectly smooth and level,1,1,54,1,2,12,11,0,0
5 cover the entire cake with a layer of buttercream use a cake spatula or even a butter knife to smooth the buttercream,1,1,23,1,1,10,1,0,0
6 pour the ganache over the top of the cake and carefully to the edges just until you get a few drips work around the edge of the cake until you are happy with the drips,1,1,36,1,1,8,4,0,0
7 optional i had extra buttercream so i piped it on top of the cake for decoration,0,1,17,1,1,5,2,0,0
chocolate cake topped with buttercream and,1,0,6,0,0,3,1,0,0
ganache data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 201200 201500 3e 3c/svg 3e,0,1,16,1,29,3,2,0,0
chocolate,1,0,1,0,0,1,0,0,0
cake topped with buttercream and ganache https //messinthekitchencom/wp,1,1,8,0,0,5,1,0,0
content/uploads/2021/05/death by chocolate cake 4jpg,2,1,5,1,7,3,0,0,0
faq,2,2,1,0,0,1,0,0,0
