Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
this site uses cookies,2,0,4,0,0,2,1,0,0
this site uses web beacons and cookies to ensure we can give you the best,1,2,15,0,0,3,3,0,0
experience on this site to learn more read our privacy policy by accepting,1,1,13,0,0,4,2,0,0
this message you are agreeing to the use of cookies throughout the site,0,1,13,0,0,4,2,0,0
cookies http //wwwredpathsugarcom/sites/default/files/2019 01/cookie 4png,2,0,5,1,7,1,1,0,0
ok continue,0,2,2,0,0,1,0,0,0
/emshare/views/modules/asset/downloads/originals/2016/10/7091/logo,1,0,1,1,10,1,0,0,0
backgroundpng/logo backgroundpng,0,1,2,0,0,2,0,0,0
header,1,0,1,0,0,1,0,0,0
logo /emshare/views/modules/asset/downloads/originals/2016/10/7086/logopng/logopng,2,1,2,1,10,2,0,0,0
recipes tips,1,2,2,0,0,2,0,0,0
products,1,1,1,0,0,1,0,0,0
videos,1,1,1,0,0,1,0,0,0
sustainably sourced ethically grown,2,1,4,0,0,0,1,0,0
language,1,2,1,0,0,1,0,0,0
ca en,1,1,2,0,0,0,1,0,0
ca fr,0,1,2,0,0,0,1,0,0
rainbow,1,0,1,0,0,1,0,0,0
cake /emshare/views/modules/asset/downloads/originals/2017/06/50791/rainbow cake landscape hero web 1jpg/rainbow cake landscape hero web 1jpg,2,1,12,1,13,7,3,0,0
rainbow cake,2,2,2,0,0,1,1,0,0
never mind a pot of gold what we found at the end of the rainbow was the,1,2,17,0,0,4,3,0,0
recipe for this delicious and oh so pretty cake,2,1,9,0,0,2,1,0,0
categories,2,2,1,0,0,1,0,0,0
cakes cupcakes,1,2,2,0,0,2,0,1,0
summer,1,1,1,0,0,1,0,0,0
desserts,2,1,1,0,0,1,0,0,0
serves,2,2,1,0,0,1,0,0,0
8 inch 20 centimetre cake,2,2,5,1,3,1,1,1,0
prep time,2,2,2,0,0,2,0,0,0
1 hour 20 minutes chilling time 45 minutes,2,2,8,1,5,4,1,0,0
cook time,2,2,2,0,0,2,0,0,0
28 minutes,2,2,2,1,2,1,0,0,0
ingredients,2,2,1,0,0,1,0,0,0
for the cakes,2,2,3,0,0,1,0,0,0
2 cups 250 g all purpose flour,1,2,7,1,4,3,1,1,1
2 cups 224 g cake and pastry flour,1,1,8,1,4,5,0,1,1
4 tsp 20 g baking powder,1,1,6,1,3,3,0,1,1
tsp 4 g salt,1,1,4,1,1,2,0,1,1
1 cup 284 g unsalted butter room temperature,1,1,8,1,4,5,0,1,1
1 cup 200 g redpath granulated sugar,1,1,7,1,4,4,1,1,1
1 cup 217 g redpath golden yellow sugar packed,1,1,9,1,4,5,1,1,1
5 large eggs room temperature,1,1,5,1,1,3,0,0,1
tsp 25 ml lemon extract,1,1,5,1,2,3,0,1,1
tsp 25 ml vanilla extract,1,1,5,1,2,3,0,1,1
1 cup 240 ml buttermilk room temperature,1,1,7,1,4,5,0,1,1
gel food colouring in red yellow orange green blue and violet,2,1,11,0,0,5,1,0,0
for the frosting,2,2,3,0,0,1,0,0,0
1 cups 341 g unsalted butter softened,1,2,7,1,4,3,1,1,1
1 cup 340 g cream cheese softened,1,1,7,1,4,4,1,1,1
4 cups 540 g redpath icing sugar,1,1,7,1,4,4,0,1,1
2 tbsp 30 ml lemon juice,1,1,6,1,3,3,0,1,1
tsp 2 g salt,2,1,4,1,1,2,0,1,1
ingredients,2,2,1,0,0,1,0,0,0
for the cakes,2,2,3,0,0,1,0,0,0
2 cups 250 g all purpose flour,1,2,7,1,4,3,1,1,1
2 cups 224 g cake and pastry flour,1,1,8,1,4,5,0,1,1
4 tsp 20 g baking powder,1,1,6,1,3,3,0,1,1
tsp 4 g salt,1,1,4,1,1,2,0,1,1
1 cup 284 g unsalted butter room temperature,1,1,8,1,4,5,0,1,1
1 cup 200 g redpath granulated sugar,1,1,7,1,4,4,1,1,1
1 cup 217 g redpath golden yellow sugar packed,1,1,9,1,4,5,1,1,1
5 large eggs room temperature,1,1,5,1,1,3,0,0,1
tsp 25 ml lemon extract,1,1,5,1,2,3,0,1,1
tsp 25 ml vanilla extract,1,1,5,1,2,3,0,1,1
1 cup 240 ml buttermilk room temperature,1,1,7,1,4,5,0,1,1
gel food colouring in red yellow orange green blue and violet,2,1,11,0,0,5,1,0,0
for the frosting,2,2,3,0,0,1,0,0,0
1 cups 341 g unsalted butter softened,1,2,7,1,4,3,1,1,1
1 cup 340 g cream cheese softened,1,1,7,1,4,4,1,1,1
4 cups 540 g redpath icing sugar,1,1,7,1,4,4,0,1,1
2 tbsp 30 ml lemon juice,1,1,6,1,3,3,0,1,1
tsp 2 g salt,0,1,4,1,1,2,0,1,1
redpath icing,1,0,2,0,0,2,0,0,0
sugar /emshare/views/modules/asset/downloads/originals/2021/10/81117/redpath,1,1,2,1,11,2,0,0,0
icing sugar 1kgpng/redpath icing sugar 1kgpng,2,1,6,1,2,3,1,0,0
icing sugar,2,2,2,0,0,1,1,0,0
instructions,2,2,1,0,0,1,0,0,0
for the cakes,2,2,3,0,0,1,0,0,0
1 preheat oven to 350 f 175 c grease three 8 inch 20 centimeter cake,1,2,15,1,10,6,2,1,0
tins line the bottoms with parchment paper and grease the parchment set,1,1,12,0,0,6,1,0,0
aside,2,1,1,0,0,0,0,0,0
