Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
header right,2,0,2,0,0,2,0,0,0
recipes in hindi,2,2,3,0,0,2,0,0,0
recipes in gujarati,2,2,3,0,0,2,0,0,0
cocktails,2,2,1,0,0,1,0,0,0
top 10,1,2,2,1,2,0,0,0,0
snacks,1,1,1,0,0,1,0,0,0
breakfasts,1,1,1,0,0,1,0,0,0
side dishes,1,1,2,0,0,2,0,0,0
curries,1,1,1,0,0,1,0,0,0
sweets desserts,1,1,2,0,0,2,0,0,0
gallery,1,1,1,0,0,1,0,0,0
vegetarian step by step,1,1,4,0,0,2,0,0,0
juice smoothie milkshake,1,1,3,0,0,2,1,0,0
popular,1,1,1,0,0,0,0,0,0
manchurian,1,1,1,0,0,1,0,0,0
paneer dishes,1,1,2,0,0,2,0,0,0
chaat and tikki,1,1,3,0,0,2,0,0,0
dhokla,1,1,1,0,0,1,0,0,0
bhindi curries,1,1,2,0,0,2,0,0,0
step by step,1,1,3,0,0,2,0,0,0
step by step recipes,1,1,4,0,0,3,0,0,0
courses,1,1,1,0,0,1,0,0,0
breakfast,1,1,1,0,0,1,0,0,0
starters,1,1,1,0,0,1,0,0,0
lunch,1,1,1,0,0,1,0,0,0
dinner,1,1,1,0,0,1,0,0,0
desserts,1,1,1,0,0,1,0,0,0
indian,1,1,1,0,0,0,0,0,0
roti paratha,1,1,2,0,0,2,0,0,0
curries,1,1,1,0,0,1,0,0,0
rice and pulao,1,1,3,0,0,2,0,0,0
daal kadhi,1,1,2,0,0,2,0,0,0
snacks,1,1,1,0,0,1,0,0,0
regional,1,1,1,0,0,0,0,0,0
gujarati,1,1,1,0,0,1,0,0,0
punjabi,1,1,1,0,0,1,0,0,0
south indian,1,1,2,0,0,1,0,0,0
north indian,1,1,2,0,0,0,0,0,0
maharashtrian,1,1,1,0,0,1,0,0,0
festival,1,1,1,0,0,1,0,0,0
diwali,1,1,1,0,0,1,0,0,0
navratri,1,1,1,0,0,1,0,0,0
christmas,0,1,1,0,0,1,0,0,0
cham cham https //cdn1foodvivacom/static content/food images/bengali,1,0,6,1,1,5,0,0,0
recipes/cham cham/cham cham 250jpg,0,1,4,1,3,3,0,0,0
rasgulla https //cdn1foodvivacom/static content/food images/desserts,1,0,5,1,1,4,0,0,0
sweets recipes/rasgulla/rasgulla 250jpg,0,1,3,1,3,1,1,0,0
sandesh sondesh https //cdn2foodvivacom/static content/food,1,0,5,1,1,2,0,0,0
images/bengali recipes/sandesh sondesh/sandesh sondesh 250jpg,0,1,5,1,3,3,0,0,0
apple kheer https //cdn2foodvivacom/static content/food images/desserts,1,0,6,1,1,5,0,0,0
sweets recipes/apple kheer/apple kheer 250jpg,0,1,5,1,3,2,1,0,0
rabri https //cdn3foodvivacom/wp content/themes/foodie,1,0,4,1,1,4,0,0,0
pro/images/blankgif,0,1,1,0,0,1,0,0,0
double ka meetha https //cdn3foodvivacom/wp content/themes/foodie,1,0,6,1,1,5,0,0,0
pro/images/blankgif,0,1,1,0,0,1,0,0,0
dudhi halwa lauki ka halwa https //cdn3foodvivacom/wp,1,0,7,1,1,7,0,0,0
content/themes/foodie pro/images/blankgif,2,1,2,0,0,2,0,0,0
home sweets rasmalai,2,2,3,0,0,2,1,0,0
rasmalai recipe with step by step photos,2,2,7,0,0,5,0,0,0
13 votes and 18 comments,2,2,5,1,4,2,0,0,0
bengali recipes desserts sweets,2,2,4,0,0,3,1,0,0
rasmalai soft and spongy cottage cheese patties in dry fruit laced saffron,1,2,12,0,0,5,1,0,0
flavored creamy milk rabri this step by step photo recipe explains how to,1,1,13,0,0,6,2,0,0
make ras malai at home from scratch with homemade chhena fresh paneer and,1,1,13,0,0,5,2,0,0
thick milk rabri as well as how to make it instantly in just 15 minutes,1,1,15,1,2,3,1,0,0
using readymade rasgulla and condensed milk no matter which way you are going,1,1,13,0,0,5,4,0,0
