Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
skip to content,2,0,3,0,0,1,1,0,0
top navigation,2,2,2,0,0,1,0,0,0
explore,2,2,1,0,0,1,0,0,0
allrecipes allrecipes,2,2,2,0,0,2,0,0,0
search,0,2,1,0,0,1,0,0,0
log in /img/profilepng,0,0,3,0,0,2,0,0,0
account details /img/profilepng,2,0,3,0,0,2,1,0,0
profile menu,0,2,2,0,0,2,0,0,0
log in /img/profilepng,0,0,3,0,0,2,0,0,0
account details /img/profilepng join now,2,0,5,0,0,3,1,0,0
join now,2,2,2,0,0,1,0,0,0
account,2,2,1,0,0,1,0,0,0
join now,1,2,2,0,0,1,0,0,0
newsletters,1,1,1,0,0,1,0,0,0
help this link opens in a new tab,2,1,8,0,0,3,1,0,0
more,2,2,1,0,0,0,0,0,0
shopping list,1,2,2,0,0,2,0,0,0
ask the community this link opens in a new tab,0,1,10,0,0,3,2,0,0
log in /img/profilepng,0,0,3,0,0,2,0,0,0
account details /img/profilepng my account,2,0,5,0,0,3,1,0,0
my account,2,2,2,0,0,1,0,0,0
account,2,2,1,0,0,1,0,0,0
my profile,1,2,2,0,0,1,0,0,0
saved items collections,1,1,3,0,0,2,1,0,0
help this link opens in a new tab,1,1,8,0,0,3,1,0,0
logout,2,1,1,0,0,1,0,0,0
more,2,2,1,0,0,0,0,0,0
shopping list,1,2,2,0,0,2,0,0,0
ask the community this link opens in a new tab,2,1,10,0,0,3,2,0,0
login,2,2,1,0,0,1,0,0,0
get allrecipes magazine,2,2,3,0,0,2,1,0,0
pin save,2,2,2,0,0,2,0,0,0
close this dialog window,2,2,4,0,0,2,0,0,0
explore allrecipes,2,2,2,0,0,1,0,0,0
allrecipes allrecipes,2,2,2,0,0,2,0,0,0
search,2,2,1,0,0,1,0,0,0
find a recipe,2,2,3,0,0,1,1,0,0
find a recipe,2,2,3,0,0,1,1,0,0
recipe or keyword,2,2,3,0,0,2,0,0,0
include these ingredients,2,2,3,0,0,1,1,0,0
filter by including ingredients,2,2,4,0,0,2,1,0,0
do not include these ingredients,2,2,5,0,0,1,2,0,0
filter by excluding ingredients,2,2,4,0,0,2,1,0,0
search,2,2,1,0,0,1,0,0,0
explore,2,2,1,0,0,1,0,0,0
explore,0,2,1,0,0,1,0,0,0
how to dye easter eggs in an instant pot https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp content 2fuploads 2fsites 2f43 2f2019 2f04 2fbowl of pastel dyed eggs in bowl next to instant pot and food coloring ccc41b62jpg,2,0,38,1,23,13,4,0,0
how to dye easter eggs in an instant pot,0,2,9,0,0,4,1,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
how to dye easter eggs in an instant pot,2,2,9,0,0,4,1,0,0
this trick is a game changer for the annual egg hunt read more,0,2,13,0,0,5,2,0,0
15 vintage easter desserts that are a hop back in time https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp content 2fuploads 2fsites 2f43 2f2020 2f03 2fimage 1 7 2000jpg,2,0,29,1,27,7,2,0,0
15 vintage easter desserts that are a hop back in time,0,2,11,1,2,5,1,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
15 vintage easter desserts that are a hop back in time,2,2,11,1,2,5,1,0,0
easter is a celebration of tradition and rebirth in the christian tradition,1,2,12,0,0,5,1,0,0
and while it s a solemn holiday it s also filled with joy and togetherness,1,1,15,0,0,3,3,0,0
it s a perfect time to bring memories back of holidays gone by as you gather,1,1,16,0,0,3,4,0,0
with your family for easter lunches or dinners you don t merely have to feel,1,1,15,0,0,4,3,0,0
nostalgic for the days when you ate bunny shaped cakes or juggling gelatin,1,1,13,0,0,4,2,0,0
treats however working these nostalgic easter desserts into your celebration,1,1,10,0,0,4,1,0,0
gives them a chance to win over a new generation of easter celebrants scroll,1,1,14,0,0,4,3,0,0
through for our collection of vintage easter desserts from lamb cakes to,1,1,12,0,0,5,0,0,0
coconut cream pie and pavlova read more,0,1,7,0,0,4,1,0,0
16 unbelievably soft sour cream cookie recipes https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp content 2fuploads 2fsites 2f43 2f2021 2f05 2f04 2f274978 blueberry cheesecake cookies kimjpeg,2,0,27,1,30,7,3,0,0
16 unbelievably soft sour cream cookie recipes,0,2,7,1,2,3,0,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
16 unbelievably soft sour cream cookie recipes,2,2,7,1,2,3,0,0,0
if you aren t mixing sour cream into your cookie batter you could be missing,1,2,15,0,0,3,4,0,0
out on a fantastic cookie experience sour cream boasts high fat levels and a,1,1,14,0,0,4,1,0,0
fair amount of acidity both factors give baked goods a hefty dose of,1,1,13,0,0,5,2,0,0
moisture as well as a bright tangy flavor additionally sour cream does do,1,1,13,0,0,4,2,0,0
not thin out your batter as buttermilk or another liquid ingredient might,1,1,12,0,0,3,0,0,0
which lends the baked cookies a tender fluffy texture so whether you just,1,1,13,0,0,4,1,0,0
need to use up some extra sour cream or want to enjoy some cookies with a,1,1,16,0,0,3,3,0,0
delightfully delicate crumb check out these sour cream cookie recipes and,1,1,11,0,0,4,1,0,0
whip up a batch of your own read more,2,1,9,0,0,3,0,0,0
breakfast and brunch recipes,2,2,4,0,0,3,0,0,0
breakfast and brunch recipes,2,2,4,0,0,3,0,0,0
see all breakfast and brunch recipes,0,2,6,0,0,3,1,0,0
12 easy breakfast quesadillas to shake up your morning,1,0,9,1,2,3,1,0,0
routine https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp,1,1,9,1,5,2,1,0,0
content 2fuploads 2fsites 2f43 2f2022 2f03 2f25 2f1646675571dsc 0258 2 2000jpg,2,1,11,1,36,1,0,0,0
12 easy breakfast quesadillas to shake up your morning routine,0,2,10,1,2,4,1,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
12 easy breakfast quesadillas to shake up your morning routine,2,2,10,1,2,4,1,0,0
looking for a quick and easy breakfast idea,0,2,8,0,0,2,1,0,0
give quesadillas a try their no,1,0,6,0,0,1,2,0,0
fuss cooking style and grab and go convenience makes them an ideal meal for,1,1,14,0,0,5,2,0,0
busy weekday mornings but they re also festive enough for a weekend brunch,1,1,13,0,0,3,1,0,0
you can customize quesadillas with an almost endless assortment of fillings,1,1,11,0,0,3,1,0,0
and they re a great way to use up leftovers check out our collection of,1,1,15,0,0,3,3,0,0
breakfast and brunch friendly quesadillas including egg quesadillas bean,1,1,9,0,0,4,3,0,0
quesadillas savory vegetable packed quesadillas and more,2,1,7,0,0,3,1,0,0
breakfast burrito recipes,1,2,3,0,0,3,0,0,0
breakfast casserole recipes,1,1,3,0,0,3,0,0,0
crepe recipes,1,1,2,0,0,2,0,0,0
egg recipes,1,1,2,0,0,2,0,0,0
french toast recipes,1,1,3,0,0,2,0,0,0
frittata recipes,1,1,2,0,0,2,0,0,0
granola recipes,1,1,2,0,0,2,0,0,0
omelet recipes,1,1,2,0,0,2,0,0,0
overnight oat recipes,1,1,3,0,0,2,0,0,0
pancake recipes,1,1,2,0,0,2,0,0,0
quiche recipes,1,1,2,0,0,2,0,0,0
waffle recipes,2,1,2,0,0,2,0,0,0
lunch recipes,2,2,2,0,0,2,0,0,0
lunch recipes,2,2,2,0,0,2,0,0,0
see all lunch recipes,0,2,4,0,0,2,1,0,0
8 tips for making the best homemade egg salad,1,0,9,1,1,4,1,0,0
ever https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp,1,1,9,1,5,1,1,0,0
