Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
an edible mosaic,2,0,3,0,0,1,0,0,0
everyday fare with extraordinary flair,2,2,5,0,0,2,0,0,0
facebook,1,2,1,0,0,1,0,0,0
instagram,1,1,1,0,0,1,0,0,0
pinterest,1,1,1,0,0,1,0,0,0
rss,1,1,1,0,0,1,0,0,0
twitter,1,1,1,0,0,1,0,0,0
youtube,2,1,1,0,0,1,0,0,0
about,1,2,1,0,0,0,0,0,0
contact,1,1,1,0,0,1,0,0,0
accessibility,1,1,1,0,0,1,0,0,0
privacy policy,1,1,2,0,0,2,0,0,0
terms and conditions,1,1,3,0,0,2,0,0,0
cookbooks,1,1,1,0,0,1,0,0,0
recipes,1,1,1,0,0,1,0,0,0
explore world cuisine,1,1,3,0,0,2,0,0,0
arabic and middle eastern,1,1,4,0,0,1,0,0,0
asian,1,1,1,0,0,0,0,0,0
british,1,1,1,0,0,0,0,0,0
buffalo foods,1,1,2,0,0,2,0,0,0
czech,1,1,1,0,0,1,0,0,0
dutch,1,1,1,0,0,1,0,0,0
ethiopian,1,1,1,0,0,0,0,0,0
french,1,1,1,0,0,0,0,0,0
german,1,1,1,0,0,0,0,0,0
greek,1,1,1,0,0,1,0,0,0
indian,1,1,1,0,0,0,0,0,0
irish,1,1,1,0,0,0,0,0,0
italian,1,1,1,0,0,0,0,0,0
jamaican,1,1,1,0,0,1,0,0,0
jewish,1,1,1,0,0,1,0,0,0
latin,1,1,1,0,0,1,0,0,0
polish,1,1,1,0,0,0,0,0,0
russian and ukrainian,1,1,3,0,0,0,0,0,0
tex mex,1,1,2,0,0,2,0,0,0
thai,1,1,1,0,0,1,0,0,0
my other blog,1,1,3,0,0,1,0,0,0
press,1,1,1,0,0,1,0,0,0
home type desserts cakes and cupcakes chocolate hazelnut cake,2,1,9,0,0,6,2,1,0
chocolate hazelnut cake,2,2,3,0,0,2,1,0,0
september 30 2020 by faith 7 comments,2,2,7,1,7,1,0,0,0
jump to recipe,2,2,3,0,0,1,1,0,0
rich and dense with deep nutty chocolate flavor this chocolate hazelnut,1,2,11,0,0,4,0,0,0
cake looks like it came from a bakery but you won t believe how easy it,1,1,16,0,0,2,4,0,0
is to make at home,0,1,5,0,0,1,2,0,0
chocolate hazelnut cake recipe on white cake,1,0,7,0,0,4,1,0,0
stand https //wwwanediblemosaiccom/wp content/uploads//2014/09/chocolate,1,1,4,1,6,3,0,0,0
hazelnut cake recipe 1jpg,2,1,4,1,1,3,0,0,0
did you know that september is the biggest birthday month of year,0,2,12,0,0,3,3,0,0
i had no idea until just recently,0,0,7,0,0,2,1,0,0
but with my birthday on september 30,1,0,7,1,2,2,0,0,0
shout out to my fellow libras,0,1,6,0,0,2,0,0,0
i thought this was pretty interesting,2,0,6,0,0,1,2,0,0
i looked into it and as it turns out it s true,0,2,12,0,0,1,3,0,0
i found this info on a ton,1,0,7,0,0,3,1,0,0
of websites including time and huffpost what s more is that the most,1,1,13,0,0,2,4,0,0
common birthday in all of september is september 16 and if you re curious,1,1,14,1,2,2,2,0,0
like i was the least common birthday is february 29 with the second least,1,1,14,1,2,3,2,0,0
common being december 25,0,1,4,1,2,0,1,0,0
close up of chocolate hazelnut cake showing crumbled cookies and toasted,1,0,11,0,0,3,4,0,0
hazelnuts on top https //wwwanediblemosaiccom/wp,1,1,5,0,0,3,0,0,0
content/uploads//2014/09/chocolate hazelnut cake recipe 2jpg,2,1,5,1,7,2,1,0,0
so anyway enough of my rambling about birthdays except for the fact that i,1,2,14,0,0,3,1,0,0
want to tell you this cake makes a gorgeous celebration cake,0,1,11,0,0,4,2,0,0
and with,1,0,2,0,0,0,0,0,0
birthdays being a pretty great reason to celebrate by extension it makes an,1,1,13,0,0,3,3,0,0
absolutely fabulous birthday cake,2,1,4,0,0,1,1,0,0
i don t know about you but personally i always feel like i was cheated if my,1,2,17,0,0,2,5,0,0
birthday cake doesn t include chocolate of some kind whether it s the cake,1,1,14,0,0,4,3,0,0
frosting filling or topping,2,1,4,0,0,2,1,0,0
this deep rich and dense chocolate cake is almost fudgy it also boasts a,1,2,14,0,0,4,2,0,0
velvety chocolate ganache dark chocolate bahlsen waffeleten cookies and,1,1,9,0,0,6,0,0,0
toasted hazelnuts on top,2,1,4,0,0,2,1,0,0
it s a chocolate hazelnut lovers paradise,0,2,7,0,0,3,2,0,0
chocolate hazelnut cake with description https //wwwanediblemosaiccom/wp,1,0,7,0,0,5,1,0,0
content/uploads//2014/09/chocolate hazelnut cake with descriptionjpg,2,1,5,1,6,3,1,0,0
in this article,2,2,3,0,0,1,0,0,0
chocolate hazelnut cake recipe,1,2,4,0,0,3,1,0,0
how do you use hazelnut flour,0,1,6,0,0,1,2,0,0
what is a substitute for hazelnut flour,0,0,7,0,0,3,1,0,0
more decadent chocolate cake recipes,1,0,5,0,0,3,0,0,0
chocolate hazelnut cake,2,1,3,0,0,2,1,0,0
chocolate hazelnut cake recipe,2,2,4,0,0,3,1,0,0
the flavor of hazelnut is a classic but wonderful accent to chocolate here,1,2,13,0,0,3,2,0,0
additionally i used pear butter for a hint of warm spices,2,1,11,0,0,4,1,0,0
bahlsen waffeletten cookies play a double role in this recipe half a box is,1,2,14,0,0,4,2,0,0
crumbled into powder with the hazelnut meal and the other half is coarsely,1,1,13,0,0,4,2,0,0
chopped and used as garnish on top,2,1,7,0,0,2,1,0,0
