Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
skip to primary navigation,1,0,4,0,0,2,0,0,0
skip to main content,1,1,4,0,0,2,0,0,0
skip to primary sidebar,1,1,4,0,0,2,0,0,0
skip to footer,0,1,3,0,0,1,1,0,0
sims home kitchen https //simshomekitchencom/wp,1,0,5,0,0,5,0,0,0
content/uploads/2021/02/cropped logo sims home kitchen 1 1png,2,1,7,1,8,3,2,0,0
home,1,2,1,0,0,1,0,0,0
recipes,1,1,1,0,0,1,0,0,0
mains,1,1,1,0,0,1,0,0,0
desserts,1,1,1,0,0,1,0,0,0
world food,1,1,2,0,0,2,0,0,0
african,1,1,1,0,0,0,0,0,0
east asian,1,1,2,0,0,0,0,0,0
european,1,1,1,0,0,0,0,0,0
appetizers,1,1,1,0,0,1,0,0,0
breakfast,1,1,1,0,0,1,0,0,0
healthy,1,1,1,0,0,0,0,0,0
low carb/keto,1,1,2,0,0,1,0,0,0
vegan,1,1,1,0,0,1,0,0,0
vegetarian,1,1,1,0,0,0,0,0,0
shop,1,1,1,0,0,1,0,0,0
contact,1,1,1,0,0,1,0,0,0
about,1,1,1,0,0,0,0,0,0
search,2,1,1,0,0,1,0,0,0
rainbow layer cake with sprinkles,2,2,5,0,0,4,0,0,0
may 7 2021 15 comments,2,2,5,1,7,1,0,0,0
15k shares,2,2,2,1,2,1,0,0,0
share,1,2,1,0,0,1,0,0,0
tweet,1,1,1,0,0,1,0,0,0
pin,1,1,1,0,0,1,0,0,0
linkedin,0,1,1,0,0,1,0,0,0
https //simshomekitchencom/wp content/uploads/2021/05/rainbow,1,0,3,1,6,2,0,0,0
cake 200x300 1jpg,0,1,3,1,7,0,1,0,0
stacked rainbow cake with red orange yellow green blue and violet,1,0,11,0,0,5,2,0,0
layers https //simshomekitchencom/wp content/uploads/2021/05/stacked,1,1,4,1,6,1,2,0,0
rainbow cake with red orange yellow green blue and violet,1,1,10,0,0,5,1,0,0
layers 1 200x300 1jpg,2,1,4,1,8,1,0,0,0
jump to recipe print recipe,2,2,5,0,0,3,1,0,0
a beautiful bright show stopping delicious rainbow layer cake with,1,2,10,0,0,4,1,0,0
sprinkles nothing beats slicing into this cake and seeing the vibrant colors,1,1,12,0,0,5,3,0,0
of the rainbow,0,1,3,0,0,1,0,0,0
this cake is perfect for birthdays and other special,1,0,9,0,0,2,1,0,0
occasions,0,1,1,0,0,1,0,0,0
rainbow layer cake with sprinkles with a,1,0,7,0,0,4,0,0,0
slice https //simshomekitchencom/wp content/uploads/2021/05/rainbow layer,1,1,5,1,6,5,0,1,0
cake with sprinkles with a slice 680x1024jpg,2,1,7,1,7,3,0,1,0
table of contents,2,2,3,0,0,2,0,0,0
about this recipe,1,2,3,0,0,1,0,0,0
equipment,1,1,1,0,0,1,0,0,0
rainbow layer cake with sprinkles ingredients,1,1,6,0,0,5,0,0,0
how to make a rainbow layer cake with sprinkles,1,1,9,0,0,4,1,0,0
how to make buttercream,1,1,4,0,0,1,1,0,0
how to assemble the rainbow layer cake with sprinkles,1,1,9,0,0,4,1,0,0
top tips,1,1,2,0,0,1,0,0,0
faqs,1,1,1,0,0,1,0,0,0
more delicious cake recipes,1,1,4,0,0,2,0,0,0
join the sims home kitchen newsletter,1,1,6,0,0,4,1,0,0
rainbow layer cake with sprinkles,1,1,5,0,0,4,0,0,0
equipment,1,1,1,0,0,1,0,0,0
ingredients,1,1,1,0,0,1,0,0,0
instructions,1,1,1,0,0,1,0,0,0
notes,2,1,1,0,0,1,0,0,0
about this recipe,2,2,3,0,0,1,0,0,0
every time i make this cake i see the delight in people s faces when they get,1,2,17,0,0,5,5,0,0
their first slice it definitely brings life to the phrase taste the rainbow,1,1,13,0,0,5,1,1,0
and it always adds excitement to special occasions,0,1,8,0,0,2,1,0,0
this cake has 6 bright colorful layers from the rainbow red orange yellow,1,0,13,1,1,5,1,0,0
green blue and violet the acronym roygbiv red orange yellow green,1,1,11,0,0,6,1,0,0
blue indigo and violet is useful to remember the order of the rainbow,1,1,13,0,0,4,2,0,0
colors as indigo and violet are fairly similar you can skip indigo,2,1,12,0,0,3,3,0,0
to decorate this cake i add vanilla buttercream in between each layer and,1,2,13,0,0,5,2,0,0
frost the cake with vanilla buttercream then i add multi colored sprinkles to,1,1,13,0,0,5,4,0,0
the entire body of the cake and use a piping bag and star nozzle to create,1,1,16,0,0,6,2,0,0
swirls around the rim of the cake,0,1,7,0,0,3,0,0,0
rainbow layered cake with sprinkles top,1,0,6,0,0,3,1,0,0
wiew https //simshomekitchencom/wp content/uploads/2021/05/rainbow layered,1,1,5,1,6,4,1,0,0
cake with sprinkles top wiew 683x1024jpg,2,1,6,1,7,3,0,0,0
equipment,2,2,1,0,0,1,0,0,0
below is a list of the equipment that i used for this recipe,2,2,13,0,0,4,3,0,0
piping bags,1,2,2,0,0,2,0,0,0
6 cake tins,1,1,3,1,1,2,0,0,0
cake board,1,1,2,0,0,1,1,0,0
cake turntable,1,1,2,0,0,1,0,0,0
water bottle for syrup,1,1,4,0,0,3,0,0,0
cake smoother,2,1,2,0,0,2,0,0,0
rainbow layer cake with sprinkles ingredients,2,2,6,0,0,5,0,0,0
this is a 6 cake with 6 layers of vanilla sponge this vanilla sponge is made,1,2,16,1,2,6,3,0,0
with butter using the creaming method all ingredients should be room,1,1,11,0,0,4,3,0,0
temperature and all dry ingredients should be sifted poured through a sieve,1,1,12,0,0,3,3,0,0
before baking you will need the following ingredients,2,1,8,0,0,1,2,0,0
unsalted butter,1,2,2,0,0,1,0,0,0
caster sugar,1,1,2,0,0,2,0,0,0
vanilla extract,1,1,2,0,0,2,0,0,0
eggs,1,1,1,0,0,1,0,0,0
self raising flour,1,1,3,0,0,2,1,0,0
milk,1,1,1,0,0,1,0,0,0
1/8 1/4 tsp of red orange yellow green blue violet food coloring gel,2,1,13,1,4,6,1,1,0
how to make a rainbow layer cake with sprinkles,2,2,9,0,0,4,1,0,0
this rainbow cake is bright fun and delicious,0,2,8,0,0,3,1,0,0
the steps below will guide you,1,0,6,0,0,1,1,0,0
through how to make a rainbow cake from scratch,2,1,9,0,0,2,1,0,0
top tip bake cakes on the middle oven rack if possible if you don t,1,2,15,0,0,4,1,0,0
have space for 6 tins in your oven then you can half the recipe below and make,1,1,17,1,1,3,3,0,0
three cakes first and then bake the remaining three,2,1,9,0,0,1,2,0,0
1 start by greasing 6 non stick 6 cake tins with butter or oil and line them with baking paper if necessary,1,2,22,1,3,7,2,0,0
2 next add 700g of room temperature butter to a large bowl,1,1,12,1,4,5,0,0,0
3 add 700g of sifted caster sugar,1,1,7,1,4,2,1,0,0
4 whisk for 3 5 minutes or until pale yellow,0,1,10,1,3,3,0,0,0
greased baking tin room temperature butter in a bowl caster sugar and room,1,0,13,0,0,8,2,0,0
temperature butter in a bowl https //simshomekitchencom/wp,1,1,7,0,0,5,0,0,0
content/uploads/2021/05/rainbow cake batterjpg,2,1,3,1,6,2,1,0,0
5 add 1 tsp of vanilla extract to the mixture then measure 700g of room,1,2,15,1,5,5,1,1,0
temperature eggs add one into the bowl and whisk until the egg is no longer,1,1,15,0,0,5,2,0,0
visible,2,1,1,0,0,0,0,0,0
6 repeat the previous step for the remaining eggs if you add all of the,1,2,15,1,1,3,2,0,0
eggs at once the mixture may split and curdle the mixture should look smooth,1,1,14,0,0,3,4,0,0
and silky,2,1,2,0,0,0,1,0,0
7 add 350g of sifted self raising flour to the mixture and 2 3 tbsp of room,1,2,17,1,6,5,2,1,0
temperature milk and mix,2,1,4,0,0,3,0,0,0
8 repeat the previous step with the remaining 350g of self raising flour and,1,2,14,1,4,4,2,0,0
milk then mix note do not overmix the cake batter as you still need to mix,1,1,16,0,0,4,4,0,0
in food coloring overmixing will result in a tough cake,0,1,10,0,0,3,2,0,0
https //simshomekitchencom/wp content/uploads/2021/05/rainbow cake,1,0,4,1,6,4,0,0,0
batter without food colouring 1jpg,2,1,5,1,1,2,1,0,0
9 you will need red orange yellow green blue and violet food colouring,1,2,13,1,1,5,2,0,0
i suggest you use gel as the colours come out a lot more vibrant add equal,1,1,16,0,0,4,3,0,0
amounts of the cake batter to six different bowls and add 1/8 1/4 tsp of each,1,1,16,1,4,5,1,1,0
food colouring and mix until well combined,0,1,7,0,0,3,1,0,0
red orange yellow green blue and violet cake,1,0,8,0,0,5,0,0,0
batter https //simshomekitchencom/wp content/uploads/2021/05/red orange,1,1,5,1,6,4,1,0,0
yellow green blue and violet cake batter 683x1024jpg,2,1,8,1,7,3,1,0,0
10 add each colored cake batter into the greased 6 tins and bake for 30,1,2,15,1,5,3,1,0,0
minutes or until done to test if your cake is ready stick a knife into the,1,1,16,0,0,3,3,0,0
cake if it comes out clean then it is done but if it is wet with cake batter,1,1,18,0,0,3,4,0,0
then it s not ready once the cakes are ready leave them to cool completely on,1,1,16,0,0,1,4,0,0
a cooling rack before decorating,2,1,5,0,0,1,2,0,0
as you can see from the image below not all of the cakes appear to be the,1,2,17,0,0,2,3,0,0
right color don t worry this is perfectly normal because most cakes get burnt,1,1,14,0,0,5,2,0,0
on the outside all you need to do is use a knife to shave off the burnt bits,1,1,18,0,0,3,5,0,0
and the color will come through,0,1,6,0,0,1,1,0,0
rainbow cake layers cooling down https //simshomekitchencom/wp,1,0,7,0,0,3,3,0,0
content/uploads/2021/05/rainbow cake layers cooling down 1024x683jpg,2,1,6,1,13,2,2,0,0
how to make buttercream,2,2,4,0,0,1,1,0,0
1 add 900 g of room temperature unsalted butter to a large bowl and whisk on a low speed for 1 minute then add 850 g of the sifted icing sugar and whisk on a medium speed for 3 minutes,1,2,40,1,9,15,1,1,0
2 add the remaining 850 g of sifted icing sugar 2 tsp of vanilla extract and 1/2 to 3/4 cup of double cream whisk for 3 5 minutes or until spreadable click here for my detailed vanilla buttercream recipe and video,2,1,41,1,11,15,1,1,0
how to assemble the rainbow layer cake with sprinkles,2,2,9,0,0,4,1,0,0
1 make sure you stack the cakes in the correct order once it s time to,1,2,16,1,1,4,2,0,0
decorate,0,1,1,0,0,1,0,0,0
stacked rainbow cake with red orange yellow green blue and violet,1,0,11,0,0,5,2,0,0
layers https //simshomekitchencom/wp content/uploads/2021/05/stacked,1,1,4,1,6,1,2,0,0
rainbow cake with red orange yellow green blue and violet layers 1 1jpg,2,1,13,1,2,6,1,0,0
12 add buttercream 1/2 a tbsp of buttercream to the center of an 8 cake,1,2,15,1,5,5,0,1,0
board then place the violet cake on the board option to add homemade syrup,1,1,14,0,0,6,2,0,0
to the cake to keep it moist then add buttercream repeat this step for the,1,1,15,0,0,3,2,0,0
rest of the cakes,2,1,4,0,0,2,0,0,0
syrup recipe heat a 1 1 ratio of water and sugar in a saucepan to,1,2,15,1,2,6,1,0,0
create a syrup bring to a boil simmer for 10 minutes and leave to cool,2,1,15,1,2,4,3,0,0
then add buttercream to a piping bag and cover the cake in buttercream use a,1,2,15,0,0,6,2,0,0
smoother to smooth the cake then refrigerate the cake for 30 minutes,0,1,12,1,2,4,2,0,0
stacked rainbow layer cake with vanilla buttercream in between each layer,1,0,11,0,0,5,1,0,0
rainbow cake with buttercream frosting https //simshomekitchencom/wp,1,1,7,0,0,4,2,0,0
content/uploads/2021/05/stacked rainbow layer cake with vanilla buttercream,1,1,7,1,6,4,1,0,0
in between each layer rainbow cake with buttercream frosting 1jpg,2,1,10,1,1,3,2,0,0
13 next you have the option to add a second layer of buttercream or skip,1,2,15,1,2,4,2,0,0
this and add sprinkles to the entire body of the cake using your hands or a,1,1,16,0,0,4,2,0,0
spoon,0,1,1,0,0,1,0,0,0
stacked rainbow layer cake with vanilla buttercream coated with,1,0,9,0,0,4,2,0,0
sprinkles https //simshomekitchencom/wp content/uploads/2021/05/stacked,1,1,4,1,6,1,2,0,0
rainbow layer cake with vanilla buttercream coated with sprinklesjpg,2,1,9,0,0,6,1,0,0
14 finally add a star nozzle to a piping bag add buttercream and add,1,2,14,1,2,5,3,0,0
swirls around the rim of the cake,0,1,7,0,0,3,0,0,0
stacked rainbow layer cake with vanilla buttercream coated with sprinkles,1,0,10,0,0,5,2,0,0
and buttercream frosting https //simshomekitchencom/wp,1,1,5,0,0,4,0,0,0
content/uploads/2021/05/stacked rainbow layer cake with vanilla buttercream,1,1,7,1,6,4,1,0,0
coated with sprinkles and buttercream frostingjpg,2,1,6,0,0,3,1,0,0
15 now get ready to serve the show stopping rainbow cake with sprinkles,0,2,13,1,2,3,4,0,0
cut into the cake take your first slice and take a look at the beautiful,1,0,15,0,0,4,2,1,0
rainbow colors,0,1,2,0,0,2,0,0,0
rainbow layer cake with sprinkles sliced https //simshomekitchencom/wp,1,0,8,0,0,5,2,1,0
content/uploads/2021/05/rainbow layer cake with sprinkles,1,1,5,1,6,4,0,0,0
sliced 2 646x1024jpg,2,1,3,1,8,0,1,1,0
top tips,2,2,2,0,0,1,0,0,0
cake tins this cake is tall as i used 6 cake tins you can also use 7,1,2,17,1,2,6,3,0,0
tins or 8 tins however be aware that the cake layers will be thinner,2,1,14,1,1,5,2,0,0
different proportions you can double or triple this recipe depending on,1,2,11,0,0,2,3,0,0
how many people you need to feed if you want to make a smaller amount then be,1,1,17,0,0,2,5,1,0
aware that the cake layers will be thinner and this can sometimes be difficult,1,1,14,0,0,3,2,0,0
to decorate,2,1,2,0,0,0,1,0,0
ingredients make sure that all of the ingredients are room temperature,1,2,11,0,0,4,2,0,0
sift all of the dry ingredients before mixing,2,1,8,0,0,1,2,0,0
overmixing batter do not overmix the batter because the cake will become,1,2,12,0,0,3,4,0,0
