Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
cakewhiz https //cakewhizcom/wp content/themes/cakewhiz/mobile,1,0,4,0,0,4,0,0,0
header/logo mobilepng mobile menu trigger,2,1,5,0,0,4,0,0,0
mobile search trigger,2,2,3,0,0,2,0,0,0
home,1,2,1,0,0,1,0,0,0
about,1,1,1,0,0,0,0,0,0
about me,1,1,2,0,0,0,0,0,0
contact,1,1,1,0,0,1,0,0,0
faq,1,1,1,0,0,1,0,0,0
privacy policy,1,1,2,0,0,2,0,0,0
work with me,1,1,3,0,0,1,0,0,0
recipes,1,1,1,0,0,1,0,0,0
desserts,1,1,1,0,0,1,0,0,0
brownies bars,1,1,2,0,0,2,0,0,0
cakes,1,1,1,0,0,1,0,0,0
cookies,1,1,1,0,0,1,0,0,0
cupcakes,1,1,1,0,0,1,0,1,0
frosting filling,1,1,2,0,0,1,1,0,0
frozen desserts,1,1,2,0,0,1,0,0,0
no bake desserts,1,1,3,0,0,2,0,0,0
pies tarts,1,1,2,0,0,2,0,0,0
breakfast brunch,1,1,2,0,0,2,0,0,0
dinner lunch,1,1,2,0,0,2,0,0,0
beef recipes,1,1,2,0,0,2,0,0,0
chicken recipes,1,1,2,0,0,2,0,0,0
one pot recipes,1,1,3,0,0,2,0,0,0
pasta recipes,1,1,2,0,0,2,0,0,0
slow cooker recipes,1,1,3,0,0,2,0,0,0
vegetarian,1,1,1,0,0,0,0,0,0
beverages,1,1,1,0,0,1,0,0,0
appetizers sides,1,1,2,0,0,2,0,0,0
seasonal,1,1,1,0,0,0,0,0,0
christmas,1,1,1,0,0,1,0,0,0
thanksgiving,1,1,1,0,0,0,1,0,0
new year,1,1,2,0,0,1,0,0,0
halloween,1,1,1,0,0,1,0,0,0
valentine s day,1,1,3,0,0,2,0,0,0
mother s day,1,1,3,0,0,2,0,0,0
stpatrick s day,1,1,3,0,0,2,0,0,0
july 4th,1,1,2,1,1,0,0,0,0
father s day,1,1,3,0,0,3,0,0,0
easter,1,1,1,0,0,1,0,0,0
graduation,1,1,1,0,0,1,0,0,0
parties,1,1,1,0,0,1,0,0,0
tips,1,1,1,0,0,1,0,0,0
cookbooks,0,1,1,0,0,1,0,0,0
cakewhiz logo https //cakewhizcom/wp,1,0,4,0,0,4,0,0,0
content/themes/cakewhiz/images/logo 2xpng,2,1,2,1,1,1,0,0,0
home,1,2,1,0,0,1,0,0,0
about,1,1,1,0,0,0,0,0,0
about me,1,1,2,0,0,0,0,0,0
contact,1,1,1,0,0,1,0,0,0
faq,1,1,1,0,0,1,0,0,0
