Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
life love and sugar https //wwwlifeloveandsugarcom/wp,1,0,6,0,0,5,0,0,0
content/uploads/2021/06/logo mobilepng,2,1,2,1,6,2,0,0,0
home,1,2,1,0,0,1,0,0,0
latest recipes,1,1,2,0,0,1,0,0,0
sweets and treats,1,1,3,0,0,2,0,0,0
breakfast,1,1,1,0,0,1,0,0,0
dinner,1,1,1,0,0,1,0,0,0
side dishes,1,1,2,0,0,2,0,0,0
appetizers,1,1,1,0,0,1,0,0,0
recipe index,1,1,2,0,0,2,0,0,0
holidays,1,1,1,0,0,1,0,0,0
search by ingredient,1,1,3,0,0,2,0,0,0
about,1,1,1,0,0,0,0,0,0
contact,1,1,1,0,0,1,0,0,0
get new recipes,2,1,3,0,0,1,1,0,0
about,1,2,1,0,0,0,0,0,0
cookbook,1,1,1,0,0,1,0,0,0
contact,1,1,1,0,0,1,0,0,0
work with me,2,1,3,0,0,1,0,0,0
join now,0,2,2,0,0,1,0,0,0
life love and sugar life is better with,1,0,8,0,0,3,1,0,0
cake https //wwwlifeloveandsugarcom/wp content/uploads/2021/03/logopng,2,1,4,1,6,4,0,0,0
recipe box,1,2,2,0,0,2,0,0,0
desserts,1,1,1,0,0,1,0,0,0
cakes and cupcakes,1,1,3,0,0,2,0,1,0
cake pops cookie balls,1,1,4,0,0,3,1,0,0
cheesecakes,1,1,1,0,0,1,0,0,0
cookies,1,1,1,0,0,1,0,0,0
bars and brownies,1,1,3,0,0,2,0,0,0
frozen desserts,1,1,2,0,0,1,0,0,0
pie,1,1,1,0,0,1,0,0,0
no bake desserts,1,1,3,0,0,2,0,0,0
other sweets,1,1,2,0,0,1,0,0,0
course,1,1,1,0,0,1,0,0,0
breakfast,1,1,1,0,0,1,0,0,0
appetizers,1,1,1,0,0,1,0,0,0
dinner,1,1,1,0,0,1,0,0,0
beef,1,1,1,0,0,1,0,0,0
chicken,1,1,1,0,0,1,0,0,0
pasta,1,1,1,0,0,1,0,0,0
seafood,1,1,1,0,0,1,0,0,0
sides,1,1,1,0,0,1,0,0,0
drinks,1,1,1,0,0,1,0,0,0
holidays,1,1,1,0,0,1,0,0,0
christmas,1,1,1,0,0,1,0,0,0
easter,1,1,1,0,0,1,0,0,0
july 4th,1,1,2,1,1,0,0,0,0
halloween,1,1,1,0,0,1,0,0,0
new years,1,1,2,0,0,1,0,0,0
thanksgiving,1,1,1,0,0,0,1,0,0
st patrick s day,1,1,4,0,0,3,0,0,0
valentine s day,1,1,3,0,0,2,0,0,0
more,1,1,1,0,0,0,0,0,0
search by ingredient,1,1,3,0,0,2,0,0,0
tutorials,1,1,1,0,0,1,0,0,0
recipes with video,1,1,3,0,0,2,0,0,0
resources,1,1,1,0,0,1,0,0,0
faqs,1,1,1,0,0,1,0,0,0
conversion chart,1,1,2,0,0,2,0,0,0
how to start a food blog,1,1,6,0,0,2,1,0,0
food photography,1,1,2,0,0,2,0,0,0
favorite baking tools,1,1,3,0,0,2,0,0,0
parties,1,1,1,0,0,1,0,0,0
life,1,1,1,0,0,1,0,0,0
weekly scriptures,2,1,2,0,0,1,0,0,0
home recipes moist vanilla cupcakes,2,2,5,0,0,4,1,1,0
moist vanilla cupcakes,2,2,3,0,0,3,0,1,0
5 stars from 256 reviews,2,2,5,1,4,2,0,0,0
1 392 comments,0,2,3,1,4,1,0,0,0
lindsay https //securegravatarcom/avatar/80231b888315cd7ce71c0938a5afd66c s 40 r g,1,0,7,1,23,5,1,0,0
by lindsay,2,1,2,0,0,1,0,0,0
published jan 16 2017,2,2,4,1,6,1,1,0,0
updated feb 24 2022,2,2,4,1,6,0,1,0,0
jump to recipeprint recipe,2,2,4,0,0,2,1,0,0
43 633 shares,2,2,3,1,5,1,0,0,0
share740,1,2,1,1,3,1,0,0,0
tweet,1,1,1,0,0,1,0,0,0
pin429k,2,1,1,1,3,1,0,0,0
these moist vanilla cupcakes are super easy to make and so moist for,1,2,13,0,0,2,2,1,0
days,0,1,1,0,0,1,0,0,0
they are my new favorite vanilla cupcake,0,0,7,0,0,2,1,1,0
moist vanilla cupcakes https //wwwlifeloveandsugarcom/wp,1,0,5,0,0,4,1,1,0
content/uploads/2017/01/moist vanilla cupcakes5jpg,2,1,3,1,7,3,0,1,0
moist vanilla cupcakes recipe,0,2,4,0,0,3,1,1,0
moist vanilla cupcakes recipe https //wwwlifeloveandsugarcom/wp,1,0,6,0,0,5,1,1,0
content/uploads/2017/01/moist vanilla cupcakes6jpg,2,1,3,1,7,3,0,1,0
i mentioned a couple weeks ago that i d be bringing you some new basic,1,2,15,0,0,4,4,0,0
favorites and i started with my easy moist chocolate cake today we are,1,1,13,0,0,5,2,0,0
talking about these moist vanilla cupcakes and i m pumped,0,1,10,0,0,3,2,1,0
one of the things,1,0,4,0,0,1,0,0,0
that i m always messing with is vanilla cake/cupcakes it s the never ending,1,1,14,0,0,1,5,1,0
quest for all the best versions i m a believer that if you don t have a good,1,1,18,0,0,3,4,0,0
vanilla cake you have nothing,0,1,5,0,0,3,1,0,0
ok dramatic but it s like the tell if,1,0,9,0,0,1,1,0,0
you don t have a good vanilla can anything else really be that good,0,1,14,0,0,3,3,0,0
there,1,0,1,0,0,0,0,0,0
are so many ways to vary a vanilla cake and i want the best of all of them,0,1,18,0,0,4,3,0,0
i m greedy like that plus i know not every has the same idea of the perfect,1,0,17,0,0,3,4,0,0
cupcake so i like to have options,2,1,7,0,0,2,1,1,0
you may or may not have tried my original vanilla cupcakes they are loved by,1,2,15,0,0,2,4,1,0
many and were my favorite for some time i still remember the batches upon,1,1,14,0,0,3,2,0,0
batches of cupcakes i made while testing those and the fabulous friends that,1,1,13,0,0,4,2,1,0
lined them up and tasted tested them all to help me find the best one if you,1,1,17,0,0,0,5,0,0
haven t tried them they are worth checking out but while i still love them,1,1,15,0,0,2,4,0,0
these are my new fave sorry og cupcake there s a new star in town,0,1,15,0,0,3,3,1,0
best moist vanilla cupcakes https //wwwlifeloveandsugarcom/wp,1,0,6,0,0,4,1,1,0
content/uploads/2017/01/moist vanilla cupcakes1jpg,0,1,3,1,7,3,0,1,0
easy moist vanilla,1,0,3,0,0,2,0,0,0
cupcakes https //wwwlifeloveandsugarcom/wp content/uploads/2017/01/moist,1,1,4,1,6,2,1,1,0
vanilla cupcakes2jpg,2,1,2,1,1,2,0,1,0
so let s talk a bit about these cupcake there s no need for creaming to get,1,2,17,0,0,3,4,1,0
involved which is kind of a plus creaming butter and sugar together makes,1,1,13,0,0,4,3,0,0
quite a fabulous cupcake but sometimes you just want quick and easy and to,1,1,14,0,0,1,1,1,0
barely even need to use a mixer i mean basically like a box mix but not you,1,1,17,0,0,4,3,0,0
know,0,1,1,0,0,0,1,0,0
these are those cupcakes the og cupcake was that way too but used,1,0,13,0,0,3,3,1,0
butter and were a little denser these cupcakes use oil and are lighter,2,1,13,0,0,4,3,1,0
we ve got the usual suspects in this cupcake starting with the dry,1,2,13,0,0,2,4,1,0
ingredients all purpose flour sugar baking powder and salt easy common,1,1,11,0,0,4,2,0,0
ingredients that you should totally have in your pantry already mix em all,1,1,13,0,0,2,2,0,0
together and set em aside,2,1,5,0,0,1,2,0,0
next are the wet ingredients milk vegetable oil vanilla extract and eggs,1,2,12,0,0,6,1,0,0
the oil is the fat component instead of butter and in my opinion tends to,1,1,15,0,0,4,2,0,0
make a more moist cake that stays moist for longer totally true for these,1,1,14,0,0,2,2,0,0
cupcakes the milk i typically use 2 adds to the structure of the cake in,1,1,15,1,1,5,2,1,0
addition to adding moisture milk adds fluff and i love some fluff i used a,1,1,15,0,0,5,4,0,0
full tablespoon of vanilla extract to make sure there s plenty of delicious,1,1,13,0,0,4,1,1,0
vanilla flavor then the eggs add more moisture structure and flavor i,1,1,12,0,0,6,1,0,0
switched it up in these and went with whole eggs instead of egg whites no,1,1,15,0,0,2,3,0,0
more egg yolks getting wasted here,0,1,6,0,0,2,2,0,0
once the wet and dry ingredients are combined the water is added,2,0,12,0,0,3,4,0,0
there s so much moisture in these cupcakes,0,2,8,0,0,2,1,1,0
i love them,0,0,3,0,0,1,1,0,0
i m a big big fan of,1,0,7,0,0,2,1,0,0
their ease of making their flavor and moisture they use such simple,1,1,12,0,0,4,2,0,0
ingredients that you likely already have in your pantry too score,0,1,11,0,0,2,2,0,0
when,1,0,1,0,0,0,0,0,0
topped with my favorite vanilla buttercream these vanilla cupcakes really are,1,1,11,0,0,4,2,1,0
a dream,0,1,2,0,0,1,0,0,0
they were a big hit in our house and i hope you love them as much as,1,0,17,0,0,2,4,0,0
we did,0,1,2,0,0,0,1,0,0
homemade moist vanilla cupcakes https //wwwlifeloveandsugarcom/wp,1,0,6,0,0,4,1,1,0
content/uploads/2017/01/moist vanilla cupcakes7jpg,0,1,3,1,7,3,0,1,0
favorite moist vanilla cupcakes recipe https //wwwlifeloveandsugarcom/wp,1,0,7,0,0,5,1,1,0
content/uploads/2017/01/moist vanilla cupcakes4jpg,2,1,3,1,7,3,0,1,0
read transcript,1,2,2,0,0,2,0,0,0
you might also enjoy,2,1,4,0,0,0,1,0,0
moist vanilla cake,1,2,3,0,0,3,0,0,0
moist and fluffy vanilla cake,1,1,5,0,0,3,0,0,0
perfect moist and fluffy vanilla cupcakes,1,1,6,0,0,3,0,1,0
easy moist chocolate cake,2,1,4,0,0,3,0,0,0
note some people have reported having trouble with this recipe while others,1,2,12,0,0,4,4,0,0
love it i have no idea why some people have trouble there could be any,1,1,15,0,0,3,3,0,0
number of factors improper measuring of ingredients oven type altitude,1,1,10,0,0,5,0,0,0
etc i have never had an issue with these and cannot troubleshoot a problem,1,1,14,0,0,4,3,0,0
that i cannot recreate if you d prefer a more traditional vanilla cupcake,1,1,13,0,0,3,3,1,0
that uses butter and a little bit of oil as well as the creaming method and,1,1,16,0,0,5,1,0,0
seems to be less finicky for people try out these easy homemade vanilla,1,1,13,0,0,3,3,0,0
cupcakes they are currently my favorite vanilla cupcake,2,1,8,0,0,3,1,1,0
print,2,2,1,0,0,1,0,0,0
clock clock icon cutlery cutlery icon flag flag icon folder folder icon,1,2,12,0,0,12,0,0,0
instagram instagram icon pinterest pinterest icon facebook facebook icon print,1,1,10,0,0,9,0,0,0
print icon squares squares icon,0,1,5,0,0,4,1,0,0
image of easy moist vanilla cupcakes close,1,0,7,0,0,3,0,1,0
up https //wwwlifeloveandsugarcom/wp content/uploads/2017/01/moist vanilla,1,1,5,1,6,3,0,0,0
cupcakes2 280x370jpg,2,1,2,1,7,1,0,1,0
recipe,2,2,1,0,0,1,0,0,0
moist vanilla cupcakes,2,2,3,0,0,3,0,1,0
44 from 256 reviews,2,2,4,1,5,1,0,0,0
author life love and sugar,1,2,5,0,0,4,0,0,0
prep time 15 minutes,1,1,4,1,2,2,0,0,0
cook time 15 minutes,1,1,4,1,2,3,0,0,0
total time 30 minutes,1,1,4,1,2,2,0,0,0
yield 24 26 cupcakes,1,1,4,1,4,2,0,1,0
category dessert,1,1,2,0,0,2,0,0,0
method oven,1,1,2,0,0,2,0,0,0
cuisine american,2,1,2,0,0,0,0,0,0
print,2,2,1,0,0,1,0,0,0
pin,2,2,1,0,0,1,0,0,0
description,2,2,1,0,0,1,0,0,0
these moist vanilla cupcakes are super easy to make and so moist for,1,2,13,0,0,2,2,1,0
days,0,1,1,0,0,1,0,0,0
they are my new favorite vanilla cupcake,0,0,7,0,0,2,1,1,0
ingredients,2,0,1,0,0,1,0,0,0
vanilla cupcakes,2,2,2,0,0,2,0,1,0
2 1/2 cups 325g all purpose flour,1,2,7,1,6,2,0,1,1
2 cups 414g sugar,1,1,4,1,4,2,0,1,1
3 tsp baking powder,1,1,4,1,1,3,0,1,1
1 tsp salt,1,1,3,1,1,2,0,1,1
1 cup 240ml milk,1,1,4,1,4,2,0,1,1
1/2 cup 120ml vegetable oil,1,1,5,1,5,2,0,1,1
1 tbsp vanilla extract,1,1,4,1,1,2,0,1,1
2 large eggs,1,1,3,1,1,1,0,0,1
1 cup 240ml water,2,1,4,1,4,2,0,1,1
vanilla frosting,2,2,2,0,0,2,0,0,0
1 cup 224g unsalted butter room temperature,1,2,7,1,4,4,0,1,1
4 cups 460g powdered sugar,1,1,5,1,4,2,1,1,1
1 1/2 tsp vanilla extract,1,1,5,1,3,3,0,1,1
2 3 tbsp 30 45ml water or milk,1,1,8,1,6,3,0,1,1
pinch of salt,2,1,3,0,0,2,0,1,1
instructions,2,2,1,0,0,1,0,0,0
1 preheat oven to 350 f 176 c and prepare a cupcake pan with liners,1,2,15,1,7,6,2,1,0
2 add the flour sugar baking powder and salt to a large mixer bowl and,1,1,15,1,1,5,2,0,0
combine set aside,1,1,3,0,0,1,1,0,0
3 add the milk vegetable oil vanilla extract and eggs to a medium sized,1,1,14,1,1,6,2,1,0
bowl and combine,1,1,3,0,0,2,0,0,0
4 add the wet ingredients to the dry ingredients and beat until well,1,1,13,1,1,3,1,0,0
combined,1,1,1,0,0,0,1,0,0
5 slowly add the water to the batter and mix on low speed until well,1,1,15,1,1,3,2,0,0
combined scrape down the sides of the bowl as needed to make sure everything,1,1,14,0,0,4,3,0,0
is well combined please note that the batter will be very thin,1,1,12,0,0,3,2,0,0
6 fill the cupcake liners about half way and bake for 15 17 minutes or,1,1,15,1,5,4,2,1,0
until a toothpick comes out with a few moist crumbs,1,1,10,0,0,3,1,0,0
7 remove the cupcakes from oven and allow to cool for 2 minutes then remove,1,1,15,1,2,2,4,1,0
to a cooling rack to finish cooling,1,1,7,0,0,2,2,0,0
8 to make the frosting beat the butter in a large mixer bowl until smooth,1,1,15,1,1,4,2,0,0
9 add 2 cups of powdered sugar and mix until smooth,1,1,11,1,2,4,0,1,0
10 add the vanilla extract and 1 tablespoon of water or milk and mix until,1,1,15,1,3,6,1,1,0
smooth,1,1,1,0,0,1,0,0,0
11 add remaining powdered sugar and mix until smooth,1,1,9,1,2,3,1,0,0
12 add remaining water or milk as needed and salt and mix until smooth,1,1,14,1,2,3,2,0,0
13 pipe the frosting onto the cupcakes i used ateco tip 844,2,1,12,1,5,3,3,1,0
notes,2,2,1,0,0,1,0,0,0
if you d prefer a more traditional vanilla cupcake that uses butter instead,1,2,13,0,0,3,3,1,0
of oil and the creaming method try out thesehomemade vanilla cupcakes,2,1,11,0,0,5,1,1,0
some people report having issues with these cupcakes if that happens to you could try leaving out the water entirely,2,2,20,0,0,4,5,1,0
nutrition,2,2,1,0,0,1,0,0,0
serving size 1 cupcake,1,2,4,1,1,2,1,1,0
calories 285,1,1,2,1,3,1,0,0,0
sugar 31 g,1,1,3,1,2,2,0,0,0
sodium 1292 mg,1,1,3,1,4,2,0,0,0
fat 127 g,1,1,3,1,3,1,0,0,0
carbohydrates 41 g,1,1,3,1,2,2,0,0,0
protein 27 g,1,1,3,1,2,1,0,0,0
cholesterol 251 mg,2,1,3,1,3,2,0,0,0
keywords vanilla cupcake recipe easy vanilla cupcake recipe vanilla,1,2,9,0,0,6,1,1,0
frosting recipe how to make vanilla cupcakes,2,1,7,0,0,2,3,1,0
did you make this recipe,0,2,5,0,0,1,2,0,0
tag lifeloveandsugar on instagram and hashtag it lifeloveandsugar,2,0,8,0,0,3,2,0,0
enjoy,0,2,1,0,0,1,0,0,0
this post contains affiliate links,0,0,5,0,0,2,1,0,0
decorated moist vanilla cupcakes https //wwwlifeloveandsugarcom/wp,1,0,6,0,0,3,2,1,0
content/uploads/2017/01/moist vanilla cupcakes3jpg,0,1,3,1,7,3,0,1,0
https //wwwlifeloveandsugarcom/wp content/uploads/2017/01/easy moist,1,0,4,1,6,4,0,0,0
vanilla cupcakes collage 1jpg,2,1,4,1,1,2,1,1,0
this post may contain affiliate sales links please read my disclosure policy,2,2,12,0,0,6,3,0,0
view recipe index,0,2,3,0,0,3,0,0,0
a close up shot of a mini tiramisu,1,0,8,0,0,4,0,0,0
trifle https //wwwlifeloveandsugarcom/wp content/uploads/2017/01/mini,1,1,4,1,6,2,0,0,0
tiramisu trifles2 2 150x150jpg,2,1,4,1,8,1,1,0,0
previous post,2,2,2,0,0,1,0,0,0
mini tiramisu trifles,2,2,3,0,0,3,0,0,0
next post,2,2,2,0,0,1,0,0,0
peanut butter chocolate layer cake,0,2,5,0,0,5,0,0,0
full image of peanut butter chocolate layer,1,0,7,0,0,5,0,0,0
cake https //wwwlifeloveandsugarcom/wp content/uploads/2017/01/peanut,1,1,4,1,6,4,0,0,0
butter chocolate cake3 150x150jpg,2,1,4,1,7,3,0,0,0
share a comment cancel reply,2,2,5,0,0,4,0,0,0
have a question,0,2,3,0,0,1,1,0,0
use the form below to submit your question or comment i,1,0,11,0,0,4,1,0,0
love hearing from you and seeing what you made,0,1,9,0,0,1,3,0,0
recipe rating,2,0,2,0,0,2,0,0,0
save my name email and website in this browser for the next time i comment,2,2,15,0,0,6,1,0,0
notify me via e mail if anyone answers my comment,2,2,10,0,0,4,1,0,0
current ye r,2,2,3,0,0,2,0,0,0
leave this field empty,2,2,4,0,0,2,1,0,0
1 392 comments,2,2,3,1,4,1,0,0,0
comments navigation,2,2,2,0,0,2,0,0,0
older comments,2,2,2,0,0,1,0,0,0
1,0,2,1,1,1,0,0,0,0
https //securegravatarcom/avatar/8c3d982ed34c3817eef54c809d57c8b7 s 90 r g,2,0,6,1,22,4,1,0,0
frankie,2,2,1,0,0,1,0,0,0
apr 9 2022 at 1 29 pm,2,2,7,1,8,1,0,0,0
they turned our perfectly,0,2,4,0,0,1,1,0,0
was nervous about the water but ended up using just,1,0,10,0,0,1,3,0,0
under a cup and the texture was ideal thank you so much,0,1,12,0,0,3,1,1,0
reply,2,0,1,0,0,1,0,0,0
1,0,2,1,1,1,0,0,0,0
https //securegravatarcom/avatar/80231b888315cd7ce71c0938a5afd66c s 90 r g,2,0,6,1,23,4,1,0,0
lindsay,2,2,1,0,0,1,0,0,0
apr 10 2022 at 6 31 am,2,2,7,1,9,0,1,0,0
so glad you enjoyed them,0,2,5,0,0,0,1,0,0
reply,2,0,1,0,0,1,0,0,0
2,0,2,1,1,1,0,0,0,0
https //securegravatarcom/avatar/69a18e42b28cef1dac09ad863b598cd5 s 90 r g,2,0,6,1,20,4,1,0,0
natalie,2,2,1,0,0,1,0,0,0
apr 9 2022 at 9 06 am,2,2,7,1,8,0,1,0,0
i love this recipe so much my only issue is if i make them ahead of time they,1,2,18,0,0,3,3,0,0
shrink up significantly any suggestions or ways to combat this shrinkage,0,1,11,0,0,3,2,0,0
reply,2,0,1,0,0,1,0,0,0
1,0,2,1,1,1,0,0,0,0
https //securegravatarcom/avatar/80231b888315cd7ce71c0938a5afd66c s 90 r g,2,0,6,1,23,4,1,0,0
lindsay,2,2,1,0,0,1,0,0,0
apr 10 2022 at 10 46 pm,2,2,7,1,10,1,0,0,0
gosh i haven t heard of people having that issue so i m not sure,2,2,15,0,0,5,3,0,0
reply,2,2,1,0,0,1,0,0,0
3,0,2,1,1,1,0,0,0,0
https //securegravatarcom/avatar/ed5bced693db2f08b803cda04b99e2e8 s 90 r g,2,0,6,1,18,4,1,0,0
judy,2,2,1,0,0,1,0,0,0
mar 30 2022 at 7 12 am,2,2,7,1,9,1,1,0,0
this is more of a light sponge cake texture the icing makes it because it,1,2,15,0,0,4,2,0,0
would be pretty bland without i reduced water by 1/2 cup and still had batter,1,1,15,1,2,5,3,1,0
i put in a small individual loaf pan and correct to say it s easy due to,1,1,17,0,0,4,2,1,0
ingredients on hand i didn t have any sour cream on hand for a more decadent,1,1,16,0,0,7,2,0,0
cake like cupcake,2,1,3,0,0,2,0,1,0
reply,2,2,1,0,0,1,0,0,0
4,0,2,1,1,1,0,0,0,0
https //securegravatarcom/avatar/3e1ad6ab5f2f7896f946ff438c915550 s 90 r g,2,0,6,1,23,4,1,0,0
marcella graf,2,2,2,0,0,2,0,0,0
mar 30 2022 at 4 46 am,2,2,7,1,9,1,1,0,0
i made these and they were devine,0,2,7,0,0,2,2,0,0
i just wanted to know how much cocoa i,1,0,9,0,0,3,2,0,0
should add to make them chocolate cupcakes and if that would take away from,1,1,14,0,0,1,4,1,0
them being so most,0,1,4,0,0,0,1,0,0
reply,2,0,1,0,0,1,0,0,0
